code_index,high_hex,low_hex,unicode,resolution_method
0,0xB0,0xA1,精,exact_hzk16_bitmap
1,0xB0,0xA2,灵,exact_hzk16_bitmap
2,0xB0,0xA3,取,exact_hzk16_bitmap
3,0xB0,0xA4,出,exact_hzk16_bitmap
4,0xB0,0xA5,存,exact_hzk16_bitmap
5,0xB0,0xA6,放,exact_hzk16_bitmap
6,0xB0,0xA7,南,exact_hzk16_bitmap
7,0xB0,0xA8,晶,exact_hzk16_bitmap
8,0xB0,0xA9,公,exact_hzk16_bitmap
9,0xB0,0xAA,司,exact_hzk16_bitmap
10,0xB0,0xAB,版,exact_hzk16_bitmap
11,0xB0,0xAC,权,exact_hzk16_bitmap
12,0xB0,0xAD,所,exact_hzk16_bitmap
13,0xB0,0xAE,有,exact_hzk16_bitmap
14,0xB0,0xAF,系,exact_hzk16_bitmap
15,0xB0,0xB0,统,exact_hzk16_bitmap
16,0xB0,0xB1,启,exact_hzk16_bitmap
17,0xB0,0xB2,动,exact_hzk16_bitmap
18,0xB0,0xB3,关,exact_hzk16_bitmap
19,0xB0,0xB4,闭,exact_hzk16_bitmap
20,0xB0,0xB5,喔,exact_hzk16_bitmap
21,0xB0,0xB6,小,exact_hzk16_bitmap
22,0xB0,0xB7,智,exact_hzk16_bitmap
23,0xB0,0xB8,在,exact_hzk16_bitmap
24,0xB0,0xB9,那,exact_hzk16_bitmap
25,0xB0,0xBA,个,exact_hzk16_bitmap
26,0xB0,0xBB,圆,exact_hzk16_bitmap
27,0xB0,0xBC,的,exact_hzk16_bitmap
28,0xB0,0xBD,球,exact_hzk16_bitmap
29,0xB0,0xBE,吧,exact_hzk16_bitmap
30,0xB0,0xBF,里,exact_hzk16_bitmap
31,0xB0,0xC0,宠,exact_hzk16_bitmap
32,0xB0,0xC1,物,exact_hzk16_bitmap
33,0xB0,0xC2,是,exact_hzk16_bitmap
34,0xB0,0xC3,要,exact_hzk16_bitmap
35,0xB0,0xC4,给,exact_hzk16_bitmap
36,0xB0,0xC5,你,exact_hzk16_bitmap
37,0xB0,0xC6,拿,exact_hzk16_bitmap
38,0xB0,0xC7,去,exact_hzk16_bitmap
39,0xB0,0xC8,多,exact_hzk16_bitmap
40,0xB0,0xC9,和,exact_hzk16_bitmap
41,0xB0,0xCA,怪,exact_hzk16_bitmap
42,0xB0,0xCB,兽,exact_hzk16_bitmap
43,0xB0,0xCC,亲,exact_hzk16_bitmap
44,0xB0,0xCD,近,exact_hzk16_bitmap
45,0xB0,0xCE,不,exact_hzk16_bitmap
46,0xB0,0xCF,打,exact_hzk16_bitmap
47,0xB0,0xD0,相,exact_hzk16_bitmap
48,0xB0,0xD1,识,exact_hzk16_bitmap
49,0xB0,0xD2,欢,exact_hzk16_bitmap
50,0xB0,0xD3,迎,exact_hzk16_bitmap
51,0xB0,0xD4,买,exact_hzk16_bitmap
52,0xB0,0xD5,东,exact_hzk16_bitmap
53,0xB0,0xD6,西,exact_hzk16_bitmap
54,0xB0,0xD7,吗,exact_hzk16_bitmap
55,0xB0,0xD8,谢,exact_hzk16_bitmap
56,0xB0,0xD9,惠,exact_hzk16_bitmap
57,0xB0,0xDA,顾,exact_hzk16_bitmap
58,0xB0,0xDB,到,exact_hzk16_bitmap
59,0xB0,0xDC,中,exact_hzk16_bitmap
60,0xB0,0xDD,心,exact_hzk16_bitmap
61,0xB0,0xDE,可,exact_hzk16_bitmap
62,0xB0,0xDF,以,exact_hzk16_bitmap
63,0xB0,0xE0,恢,exact_hzk16_bitmap
64,0xB0,0xE1,复,exact_hzk16_bitmap
65,0xB0,0xE2,体,exact_hzk16_bitmap
66,0xB0,0xE3,力,exact_hzk16_bitmap
67,0xB0,0xE4,光,exact_hzk16_bitmap
68,0xB0,0xE5,临,exact_hzk16_bitmap
69,0xB0,0xE6,弃,exact_hzk16_bitmap
70,0xB0,0xE7,对,exact_hzk16_bitmap
71,0xB0,0xE8,起,exact_hzk16_bitmap
72,0xB0,0xE9,因,exact_hzk16_bitmap
73,0xB0,0xEA,为,exact_hzk16_bitmap
74,0xB0,0xEB,机,exact_hzk16_bitmap
75,0xB0,0xEC,能,exact_hzk16_bitmap
76,0xB0,0xED,限,exact_hzk16_bitmap
77,0xB0,0xEE,这,exact_hzk16_bitmap
78,0xB0,0xEF,暂,exact_hzk16_bitmap
79,0xB0,0xF0,时,exact_hzk16_bitmap
80,0xB0,0xF1,够,exact_hzk16_bitmap
81,0xB0,0xF2,战,exact_hzk16_bitmap
82,0xB0,0xF3,交,exact_hzk16_bitmap
83,0xB0,0xF4,换,exact_hzk16_bitmap
84,0xB0,0xF5,器,exact_hzk16_bitmap
85,0xB0,0xF6,也,exact_hzk16_bitmap
86,0xB0,0xF7,坏,exact_hzk16_bitmap
87,0xB0,0xF8,了,exact_hzk16_bitmap
88,0xB0,0xF9,下,exact_hzk16_bitmap
89,0xB0,0xFA,次,exact_hzk16_bitmap
90,0xB0,0xFB,再,exact_hzk16_bitmap
91,0xB0,0xFC,来,exact_hzk16_bitmap
92,0xB0,0xFD,看,exact_hzk16_bitmap
93,0xB0,0xFE,钱,exact_hzk16_bitmap
94,0xB1,0xA1,否,exact_hzk16_bitmap
95,0xB1,0xA2,空,exact_hzk16_bitmap
96,0xB1,0xA3,手,exact_hzk16_bitmap
97,0xB1,0xA4,道,exact_hzk16_bitmap
98,0xB1,0xA5,跆,exact_hzk16_bitmap
99,0xB1,0xA6,拳,exact_hzk16_bitmap
100,0xB1,0xA7,使,exact_hzk16_bitmap
101,0xB1,0xA8,用,exact_hzk16_bitmap
102,0xB1,0xA9,居,exact_hzk16_bitmap
103,0xB1,0xAA,合,exact_hzk16_bitmap
104,0xB1,0xAB,斩,exact_hzk16_bitmap
105,0xB1,0xAC,飞,exact_hzk16_bitmap
106,0xB1,0xAD,天,exact_hzk16_bitmap
107,0xB1,0xAE,术,exact_hzk16_bitmap
108,0xB1,0xAF,冲,exact_hzk16_bitmap
109,0xB1,0xB0,浪,exact_hzk16_bitmap
110,0xB1,0xB1,块,exact_hzk16_bitmap
111,0xB1,0xB2,石,exact_hzk16_bitmap
112,0xB1,0xB3,头,exact_hzk16_bitmap
113,0xB1,0xB4,好,exact_hzk16_bitmap
114,0xB1,0xB5,像,exact_hzk16_bitmap
115,0xB1,0xB6,被,exact_hzk16_bitmap
116,0xB1,0xB7,推,exact_hzk16_bitmap
117,0xB1,0xB8,棵,exact_hzk16_bitmap
118,0xB1,0xB9,树,exact_hzk16_bitmap
119,0xB1,0xBA,苗,exact_hzk16_bitmap
120,0xB1,0xBB,断,exact_hzk16_bitmap
121,0xB1,0xBC,世,exact_hzk16_bitmap
122,0xB1,0xBD,界,exact_hzk16_bitmap
123,0xB1,0xBE,大,exact_hzk16_bitmap
124,0xB1,0xBF,家,exact_hzk16_bitmap
