stable_key,dialogue_id,reference_class,chinese_text,english_v2,disposition,source_url,source_revision,review_note
MAIN:0x03082C,D0001,Red/Blue/Yellow shared,"你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!","PROF. OAK: Hello there! Welcome to the world of Pokémon! I'm Oak, the Pokémon Prof.! Creatures called Pokémon live here!",adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03329F,D0010,Red/Blue/Yellow shared,"小茂:怎么了?小智在这里遇见你还真是偶然啊!你也去宠物精灵联盟啊?徽章也都收集齐了,干的不错嘛!不过在去联盟之前先和我比试一场吧!","GARY: Ash! What a surprise! Going to the Pokémon League? Got all the Badges? Not bad! First, a warm-up battle!",adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03331B,D0011,Red/Blue/Yellow shared,"小茂:我只是一时太大意了,可恶!不过你这样的水平想称霸精灵联盟...你还是多练习一下比较好!我多管闲事了啊,那我先走了!再会了...",GARY: I got careless! You need more practice before ruling the League. I've meddled enough. Smell ya later!,adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033395,D0012,Red/Blue/Yellow shared,守卫:啊!你拿的的确是联盟徽章!请通过吧!,Those are League Badges! You may pass!,adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03353B,D0024,Red/Blue/Yellow shared,女孩:现在就开始四大天王的对战!朝最强努力吧!,Your Elite Four battles begin now! Go for the top!,adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033583,D0025,Red/Blue/Yellow shared,"加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!","LORELEI: Welcome to the League! I'm Lorelei of the Elite Four, an Ice-type master! I fear nothing. Anger me and I'll freeze your Pokémon solid! Hahaha! Ready?",adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033604,D0026,Red/Blue/Yellow shared,"加纳:你到底是什么人物?...好吧,我输了就朝下一个房间前进吧",LORELEI: Who are you...? I lost. Go to the next room.,chinese_specific_retained,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.
MAIN:0x03365E,D0027,Red/Blue/Yellow shared,"西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!","BRUNO: I'm Bruno, the Elite Four's Ground-type master! Training makes people and Pokémon stronger. My team and I live by it! Ash, face our power!",adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0336E4,D0028,Red/Blue/Yellow shared,"西巴:到底是怎么回事?我竟然输了...既然输了,我无话可说,你就前进吧!",BRUNO: How did I lose...? Nothing more to say. Go on!,chinese_specific_retained,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.
MAIN:0x033715,D0029,Red/Blue/Yellow shared,"菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!","AGATHA: I'm Agatha, the Elite Four's Ghost-type master. I hear Oak of Pallet Town is fond of you! He was once strong, but you'd never know it now. A Pokédex isn't enough. Pokémon are for fighting! I'll show you a real battle!",adapted_to_official_english,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
