entry_index,english_offset_hex,script_line,layout,source_length,alignment_method,alignment_confidence,pointer_references,chinese_record_indexes,chinese_offsets,chinese_text,english_storage,english_text,fidelity_status,review_note
137,0x03082C,221,dialogue_intro_17_19,106,pointer_table,high,0x03018D,175,0x03082B,"
你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",ascii,Hello there! Welcome to the world of Pok@mon! My name is OAK! People call me the Pok@mon PROF!,pending_semantic_review,
646,0x0331EF,5303,dialogue_19_19,27,pointer_table,high,0x033149,937,0x0333BD,"
女孩:能来到这里不简单",ascii,Are you good enoughfor me?,pending_semantic_review,
647,0x03320B,5377,dialogue_19_19,24,pointer_table,high,0x03314B,938,0x0333D4,"
女孩:之后就看你的",ascii,I never wanted to lose!,pending_semantic_review,
648,0x033224,5308,dialogue_19_19,19,pointer_table,high,0x03314D,939,0x0333E7,"
男孩:看来你也是来挑战联盟的了",ascii,I can see your good,pending_semantic_review,
649,0x033238,5365,dialogue_19_19,26,pointer_table,high,0x03314F,940,0x033406,"
男孩:你有机会夺取冠军啊",ascii,"I concede, you're better.",pending_semantic_review,
650,0x033253,5396,dialogue_19_19,25,pointer_table,high,0x033159,945,0x033485,"
训兽师:觉悟吧",ascii,Is Victory Road tootough?,pending_semantic_review,
651,0x03326D,5397,dialogue_19_19,10,pointer_table,high,0x03315B,946,0x033494,"
训兽师:我已经觉悟了!",ascii,Well done!,pending_semantic_review,
652,0x033278,5313,dialogue_19_19,23,pointer_table,high,0x03315D,947,0x0334AA,"
魔术师:为什么要来这里?",ascii,Come on! I'll whip you!,pending_semantic_review,
653,0x033290,5382,dialogue_19_19,14,pointer_table,high,0x03315F,948,0x0334C2,"
魔术师:你的目标的确伟大!",ascii,I got whipped.,pending_semantic_review,
654,0x03329F,6091,dialogue_19_19,123,pointer_table,high,0x033143,934,0x03329E,"
小茂:怎么了?小智在这里遇见你还真是偶然啊!你也去宠物精灵联盟啊?徽章也都收集齐了,干的不错嘛!不过在去联盟之前先和我比试一场吧!",graphical_codes,"<B0B6><B1EC>:<B2D0><B1E6><B0F8>?<B0B6><B0B7><B0B8><B0EE><B0BF><B4DA><B2CD><B0C5><B2BD><B1F5><B0C2><B9E3><B2AA><B2AC>!<B0C5><B0F6><B0C7><B0C0><B0C1><B0A1><B0A2><B3CE><B3CF><B2AC>?<B3D1><B3D2><B0F6><B1C0><B6B7><B6B8><BDE5><B0F8>,<B5A5><B0BC><B0CE><B2DC><B1DC>!<B0CE><B3D4><B0B8><B0C7><B3CE><B3CF><B3E3><B3DD><B6E0><B0C9><B1C2><B2B2><B4A3><B1D1><B3B5><B0BE>!",english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
