pointer_reference_hex,chinese_record_index,chinese_offset_hex,chinese_text,english_offset_hex,english_storage,english_text,english_translation_status,french_source_offset_hex,french_text,present_in_french,pointer_redirected_for_french
0x033143,934,0x03329E,"
小茂:怎么了?小智在这里遇见你还真是偶然啊!你也去宠物精灵联盟啊?徽章也都收集齐了,干的不错嘛!不过在去联盟之前先和我比试一场吧!",0x03329F,graphical_codes,"<B0B6><B1EC>:<B2D0><B1E6><B0F8>?<B0B6><B0B7><B0B8><B0EE><B0BF><B4DA><B2CD><B0C5><B2BD><B1F5><B0C2><B9E3><B2AA><B2AC>!<B0C5><B0F6><B0C7><B0C0><B0C1><B0A1><B0A2><B3CE><B3CF><B2AC>?<B3D1><B3D2><B0F6><B1C0><B6B7><B6B8><BDE5><B0F8>,<B5A5><B0BC><B0CE><B2DC><B1DC>!<B0CE><B3D4><B0B8><B0C7><B3CE><B3CF><B3E3><B3DD><B6E0><B0C9><B1C2><B2B2><B4A3><B1D1><B3B5><B0BE>!",not_translated_in_english,0x03329F,"RÉGIS : Tiens,
Sacha !
Quelle surprise !
Tu vas à la Ligue ?
Tous tes Badges !
Pas mal ! Bats-moi.",yes,no
0x033145,935,0x03331B,"
小茂:我只是一时太大意了,可恶!不过你这样的水平想称霸精灵联盟...你还是多练习一下比较好!我多管闲事了啊,那我先走了!再会了...",0x03331B,graphical_codes,"<0A><B0B6><B1EC>:<B1C2><B2BE><B0C2><B1D1><B0F0><B6C6><B1BE><B4A5><B0F8>,<B0DE><B5E0>!<B0CE><B3D4><B0C5><B0EE><B2DA><B0BC><B5F7><B5DC><B1D7><B1C8><BBD4><B0A1><B0A2><B3CE><B3CF>...<B0C5><B2BD><B0C2><B0C8><B2C5><B2C6><B1D1><B0F9><B2B2><B3EB><B1B4>!<B1C2><B0C8><B3A4><B5C0><B1D5><B0F8><B2AC>,<B0B9><B1C2><B6E0><B7C3><B0F8>!<B0FB><B1F9><B0F8>...",not_translated_in_english,0x03331B,"RÉGIS : Zut !
J'étais distrait.
À ce niveau, jamais
tu ne gagneras
la Ligue.
Entraîne-toi !
Je trace. À plus !",yes,no
0x033147,936,0x033395,"
守卫:啊!你拿的的确是联盟徽章!请通过吧!",0x033395,graphical_codes,<0A><B3DF><B3E0>:<B2AC>!<B0C5><B0C6><B0BC><B0BC><B9DB><B0C2><B3CE><B3CF><B3D1><B3D2>!<B2D8><B3DA><B3D4><B0BE>!,not_translated_in_english,0x033395,"GARDE : Oh !
Tes Badges de Ligue
sont authentiques !
Tu peux passer !",yes,no
0x033149,937,0x0333BD,"
女孩:能来到这里不简单",0x0331EF,ascii,Are you good enoughfor me?,english_ascii_present,0x0331EF,Tu as dû en baver pour arriver jusqu'ici !,yes,no
0x03314B,938,0x0333D4,"
女孩:之后就看你的",0x03320B,ascii,I never wanted to lose!,english_ascii_present,0x03320B,"À toi de jouer, maintenant.",yes,no
0x03314D,939,0x0333E7,"
男孩:看来你也是来挑战联盟的了",0x033224,ascii,I can see your good,english_ascii_present,0x033224,"Toi aussi, tu viens défier la Ligue ?",yes,no
0x03314F,940,0x033406,"
男孩:你有机会夺取冠军啊",0x033238,ascii,"I concede, you're better.",english_ascii_present,0x033238,Tu pourrais devenir Champion !,yes,no
0x033151,941,0x03341F,"
空手道:你辛苦了,不过也到此为止",0x0333FF,ascii,This is the final test for trainers!,english_ascii_present,0x0333FF,"Tu t'es bien battu, mais tu t'arrêtes ici !",yes,no
0x033153,942,0x03343F,"
空手道:我竟然输了...",0x033425,ascii,I need to train.,english_ascii_present,0x033425,Dire que j'ai perdu...,yes,no
0x033155,943,0x033455,"
魔术师:你知道什么是魔术吗?",0x0333BD,ascii,You're gonna take on the Elite Four?,english_ascii_present,0x0333BD,"Magie, tu connais ?",yes,no
0x033157,944,0x033471,"
魔术师:不可思议...",0x0333E3,ascii,You should have no trouble.,english_ascii_present,0x0333E3,Incroyable...,yes,no
0x033159,945,0x033485,"
训兽师:觉悟吧",0x033253,ascii,Is Victory Road tootough?,english_ascii_present,0x033253,Prépare-toi !,yes,no
0x03315B,946,0x033494,"
训兽师:我已经觉悟了!",0x03326D,ascii,Well done!,english_ascii_present,0x03326D,J'étais prêt !,yes,no
0x03315D,947,0x0334AA,"
魔术师:为什么要来这里?",0x033278,ascii,Come on! I'll whip you!,english_ascii_present,0x033278,Pourquoi es-tu là ?,yes,no
0x03315F,948,0x0334C2,"
魔术师:你的目标的确伟大!",0x033290,ascii,I got whipped.,english_ascii_present,0x033290,Tu vises haut !,yes,no
0x033161,949,0x0334DC,"
女孩:告诉你我要结婚了!",0x033436,ascii,The Elite Four is next!,english_ascii_present,0x033436,Je vais me marier !,yes,no
0x033163,950,0x0334F4,"
女孩:我不想嫁人了,你做我老公好吗?",0x03344F,ascii,Unbelievable!,english_ascii_present,0x03344F,"Finalement, non... Tu veux m'épouser ?",yes,no
0x033165,951,0x033517,"
男孩:我不会让你再前进的",0x03349F,ascii,Only the chosen canpass here!,english_ascii_present,0x03349F,Tu n'iras pas plus loin !,yes,no
0x033167,952,0x033530,"
男孩:是天意啊",0x0334BD,ascii,I don't believe it!,english_ascii_present,0x0334BD,C'était écrit...,yes,no
0x033169,953,0x03353F,"
女孩:为什么我的精灵都不强呢?",0x03345D,ascii,I heard about a young prodigy.,english_ascii_present,0x03345D,"Pourquoi sont-ils
tous si faibles ?",yes,no
0x03316B,954,0x03355D,"
女孩:是因为我没有用爱心吧...",0x03347F,ascii,You really beat Team Rocket?,english_ascii_present,0x03347F,Je manque sûrement d'amour pour eux...,yes,no
