stable_key,dialogue_id,chinese_text,previous_english_v2,revised_english_v2,reference_priority,disposition,source_url,source_revision,reason
MAIN:0x03082C,D0001,"你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",PROF. OAK: Hello! Welcome to the Pokémon world! I'm known as Professor Oak. Creatures called Pokémon live here!,"PROF. OAK: Hello there! Welcome to the world of Pokémon! I'm Oak, the Pokémon Prof.! Creatures called Pokémon live here!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03329F,D0010,"小茂:怎么了?小智在这里遇见你还真是偶然啊!你也去宠物精灵联盟啊?徽章也都收集齐了,干的不错嘛!不过在去联盟之前先和我比试一场吧!","GARY: Ash! What a surprise! Going to the Pokémon League too? Got every Badge? Not bad! First, battle me!","GARY: Ash! What a surprise! Going to the Pokémon League? Got all the Badges? Not bad! First, a warm-up battle!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03331B,D0011,"小茂:我只是一时太大意了,可恶!不过你这样的水平想称霸精灵联盟...你还是多练习一下比较好!我多管闲事了啊,那我先走了!再会了...",GARY: I got careless. Darn! You can't rule the League at your level. Train more! I've meddled enough. I'm off. See ya...,GARY: I got careless! You need more practice before ruling the League. I've meddled enough. Smell ya later!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033395,D0012,守卫:啊!你拿的的确是联盟徽章!请通过吧!,GUARD: Ah! Real League Badges. You may pass!,Those are League Badges! You may pass!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03353B,D0024,女孩:现在就开始四大天王的对战!朝最强努力吧!,GIRL: The Elite Four battles start now! Fight to be the strongest!,Your Elite Four battles begin now! Go for the top!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033583,D0025,"加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!",LORELEI: Welcome to the League! I'm with the Ice-type Elite Four. I fear nothing. Anger me and I'll freeze your Pokémon solid! Ha! Prepare!,"LORELEI: Welcome to the League! I'm Lorelei of the Elite Four, an Ice-type master! I fear nothing. Anger me and I'll freeze your Pokémon solid! Hahaha! Ready?",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03365E,D0027,"西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!","BRUNO: I'm with the Ground-type Elite Four! Pokémon and people grow strong by battle and training. My team and I live by it! Ash, face our power!","BRUNO: I'm Bruno, the Elite Four's Ground-type master! Training makes people and Pokémon stronger. My team and I live by it! Ash, face our power!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033715,D0029,"菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!","AGATHA: I'm in the Ghost Elite Four. I hear Pallet's Prof. Oak favors you! Once strong, you'd never know now. A Pokédex isn't enough. Pokémon are for battle! I'll show you true battle!","AGATHA: I'm Agatha, the Elite Four's Ghost-type master. I hear Oak of Pallet Town is fond of you! He was once strong, but you'd never know it now. A Pokédex isn't enough. Pokémon are for fighting! I'll show you a real battle!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x033814,D0030,"菊子:真了不起啊,是你胜了,大木博士真有眼光,我心服口服你就朝下一个房间去吧!",AGATHA: Impressive. You won. Oak chose well. I yield. Next room!,"AGATHA: You win! I see what Oak saw in you. Go on, child!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x033861,D0031,"瓦它诺:你是小智?我是龙系四天王菊子瓦它诺,你应该知道龙是神圣传说中的生物,很难抓但培育的好将是天下第一!一般的攻击对龙系是没用的!开始吧,我会让你夹着尾巴逃跑的!","LANCE: Ash? I'm with the Dragon Elite Four. Dragons are sacred legends, hard to catch but supreme when raised well. Common attacks are useless on them! Begin! You'll flee with your tail tucked!","LANCE: I'm Lance, the Elite Four's Dragon-type master! Dragons are sacred legends, hard to catch but supreme when raised well. Common attacks are useless against them! Prepare to lose, Ash!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0338F4,D0032,"瓦它诺:虽然难过但你的技术一流!我想说小智从今开始你是宠物精灵联盟的冠军!但你必须再与一人战斗不可!那位训练家就是...小茂!他比你早战胜我们四天王,所以你们要决出真正的冠军,去吧小智!","LANCE: It hurts, but you're first-rate! I'd call you League Champion, but Gary remains. He beat us first. Battle him for the true title. Go, Ash!","LANCE: My dragons lost! You're first-rate, but Gary beat us first. Battle him for the true Champion title! Go, Ash!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0339A9,D0033,"小茂:小智啊?你也来了?既然做为对手的你这么弱也没什么好竞争的!我在收集图鉴的同时也找到一些完美的精灵!告诉你吧,我就是世界最强的精灵训练师!!","GARY: Ash? You too? A weak rival is no competition! While filling my Pokédex, I found perfect Pokémon. I'm the world's strongest Trainer!","GARY: Ash! A weak rival is no competition! While filling my Pokédex, I found some perfect Pokémon. I'm the world's strongest Trainer!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033B7F,D0035,"大木博士:小智,你能制霸宠物精灵联盟!不是你一个人的力量!是你与精灵之间巧妙的感情!小智你跟我来!","PROF. OAK: Ash, you didn't win the League alone! Your bond with your Pokémon did it. Come with me!",PROF. OAK: Ash! Your victory wasn't yours alone. Your bond with your Pokémon is marvelous! Come with me!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033F45,D0045,"加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!",LORELEI: Welcome to the League! I'm with the Ice-type Elite Four. I fear nothing. Anger me and I'll freeze your Pokémon solid! Ha! Prepare!,"LORELEI: Welcome to the League! I'm Lorelei of the Elite Four, an Ice-type master! I fear nothing. Anger me and I'll freeze your Pokémon solid! Hahaha! Ready?",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x033FFF,D0047,"西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!","BRUNO: I'm with the Ground-type Elite Four! Pokémon and people grow strong by battle and training. My team and I live by it! Ash, face our power!","BRUNO: I'm Bruno, the Elite Four's Ground-type master! Training makes people and Pokémon stronger. My team and I live by it! Ash, face our power!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0340C1,D0049,"菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!","AGATHA: I'm in the Ghost Elite Four. I hear Pallet's Prof. Oak favors you! Once strong, you'd never know now. A Pokédex isn't enough. Pokémon are for battle! I'll show you true battle!","AGATHA: I'm Agatha, the Elite Four's Ghost-type master. I hear Oak of Pallet Town is fond of you! He was once strong, but you'd never know it now. A Pokédex isn't enough. Pokémon are for fighting! I'll show you a real battle!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034169,D0050,"瓦它诺:你是小智?我是龙系四天王菊子瓦它诺,你应该知道龙是神圣传说中的生物,很难抓但培育的好将是天下第一!一般的攻击对龙系是没用的!开始吧,我会让你夹着尾巴逃跑的!","LANCE: Ash? I'm with the Dragon Elite Four. Dragons are sacred legends, hard to catch but supreme when raised well. Common attacks are useless on them! Begin! You'll flee with your tail tucked!","LANCE: I'm Lance, the Elite Four's Dragon-type master! Dragons are sacred legends, hard to catch but supreme when raised well. Common attacks are useless against them! Prepare to lose, Ash!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034207,D0051,瓦它诺:虽然难过但你的技术一流!不过要想成为真正的冠军就应该进入冠军的房间打败里面的训练师!!他比你早一步打败我们四天王!,"LANCE: It hurts, but you're first-rate! To be true Champion, enter the Champion's room and beat its Trainer. He beat us first!","LANCE: You're first-rate! But to become the true Champion, enter the Champion's room and defeat the Trainer who beat us before you!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03447C,D0054,"大木博士:你又堂堂正正的赢了!恭喜你小智,从你刚开始得到比卡丘开始到现在你真的变强了,应该说你长大了!小智,你能制霸宠物精灵联盟!不是你一个人的力量!是你与精灵之间巧妙的感情!小智你跟我来!","PROF. OAK: Fair and square again! Congrats, Ash. You've grown strong since getting Pikachu, and grown up! Your bond with your Pokémon, not strength alone, won the League. Come with me!","PROF. OAK: Fair and square again! Congratulations, Ash! You've grown strong since Pikachu. Your victory was not yours alone; your Pokémon bond is marvelous! Come with me!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03456E,D0055,"大木博士:小智,你经过激烈的战斗!而如今成为联盟冠军!在此记录下小智的名字与精灵的名字吧!和我一起回家吧,你妈妈一定很想你","PROF. OAK: Ash, fierce battles made you Champion! Record your name and each Pokémon's. Let's go home; Mom must miss you.","PROF. OAK: Fierce battles made you Champion, Ash! Your name and Pokémon go on record. Let's go home. Mom must miss you!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034C09,D0103,欢迎!到精灵中心可以恢复精灵的体力.,Welcome! Pokémon Centers restore Pokémon's health.,Welcome! We heal Pokémon to perfect health!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
