stable_key,record_type,dialogue_id,category,layout,speaker,source_offset_or_pointer,chinese_text,english_2015,french_v2_gloss,english_v2,official_reference_class,reference_disposition,reference_url,reference_revision,changed_during_official_reference_pass,english_before_reference_pass,reference_reason,compression,compression_justification,fidelity_comment,alignment_confidence,source_resolution,ai_review_status,human_review_status,human_reviewer,human_review_notes
MAIN:0x0301C4,MAIN,,Ordinary text,,,0x0301C4,南晶公司版权所有,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,(c) Nanjing - tous droits réservés.,(c) Nanjing Co. All rights reserved.,Not identified as a Gen I scene,n/a,,,No,,,no,,Restores Nanjing as the rights holder instead of retaining the unreadable graphical residue in the old English ROM.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0301D7,MAIN,,Ordinary text,,,0x0301D7,出来了!,Appeared!,0000000000Apparaît!, appeared!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the appearance suffix and keeps the leading space required after the preceding Pokémon name. Full-text review: Keeps the wild-appearance suffix on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0301EB,MAIN,,Ordinary text,,,0x0301EB,冲啊!,Go!,Vas-y! ,Go! ,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the short send-out cry and its trailing join before the player's Pokémon name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0301F0,MAIN,,Ordinary text,,,0x0301F0,野生的,00<B1F8><B1C9><B0BC>,sauvage,Wild ,Not identified as a Gen I scene,n/a,,,No,,,no,,Uses the standard wild-Pokémon prefix and preserves the trailing space before the species name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0301F9,MAIN,,Ordinary text,,,0x0301F9,不行了!,Fainted!, K.O.!  , fainted!,Not identified as a Gen I scene,n/a,,,No,,,no,,Conveys that the named Pokémon can no longer battle and keeps the suffix's structural leading space.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030203,MAIN,,Ordinary text,,,0x030203,经验值得到了!,Experience!, Exp gagnée!,Exp. gained!,Not identified as a Gen I scene,n/a,,,No,,,no,,Restores the complete experience-gained message identified by the reviewed structural record rather than the vague old Experience fragment.,medium,reviewed_source_adjudication,ai_source_reviewed,To review,,
MAIN:0x030210,MAIN,,Ordinary text,,,0x030210,情况不妙快逃!,Got away safely!,Fuite réussie!  ,Got away safely!,Not identified as a Gen I scene,n/a,,,No,,,no,,The executable branch is a completed escape; uses the official Generation I success message instead of an instruction to run after the fact.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030221,MAIN,,Ordinary text,,,0x030221,小智使用了,Threw a,Lance  ,Ash used ,Not identified as a Gen I scene,n/a,,,No,,,no,,Retains Ash as the explicit user and the trailing join before the item name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03022A,MAIN,,Ordinary text,,,0x03022A,将,Yes!,Oui! ,Gotcha! ,Not identified as a Gen I scene,n/a,,,No,,,no,,Restructures the Chinese object marker into a natural capture lead-in before the Pokémon name; the following fragment supplies the caught result.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030230,MAIN,,Ordinary text,,,0x030230,不行啊!,Oh No!,000000000Oh non! ,Oh no! ,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the failed-capture exclamation and its structural trailing join before the Pokémon name.,high,pointer_table,ai_source_reviewed,To review,,
