entry_index,english_offset_hex,script_line,layout,source_length,alignment_method,alignment_confidence,pointer_references,chinese_record_indexes,chinese_offsets,chinese_text,english_storage,english_text,fidelity_status,review_note
1,0x0301C4,6029,,17,pointer_table,high,0x03002B,1,0x0301C4,"
南晶公司版权所有",graphical_codes,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
2,0x0301D7,114,,19,pointer_table,high,0x03002F,3,0x0301E1,"
出来了!",ascii,Appeared!,pending_semantic_review,
3,0x0301EB,5819,,4,pointer_table,high,0x030031,4,0x0301EA,"
冲啊!",ascii,Go!,pending_semantic_review,
4,0x0301F0,6030,,8,pointer_table,high,0x030033,5,0x0301F1,"
野生的",graphical_codes,00<B1F8><B1C9><B0BC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
5,0x0301F9,115,,9,pointer_table,high,0x030035,6,0x0301F9,"
不行了!",ascii,Fainted!,pending_semantic_review,
6,0x030203,116,,12,containing_offset,medium,,7,0x030202,"
经验值得到了!",ascii,Experience!,pending_semantic_review,
7,0x030210,117,,16,pointer_table,high,0x030039,8,0x030211,"
情况不妙快逃!",ascii,Got away safely!,pending_semantic_review,
8,0x030221,118,,8,pointer_table,high,0x03003B,9,0x030220,"
小智使用了",ascii,Threw a,pending_semantic_review,
9,0x03022A,119,,5,pointer_table,high,0x03003D,10,0x03022C,"
将",ascii,Yes!,pending_semantic_review,
10,0x030230,120,,16,pointer_table,high,0x030041,12,0x030238,"
不行啊!",ascii,Oh No!,pending_semantic_review,
11,0x030242,121,,11,pointer_table,high,0x030043,13,0x030241,"
从精灵球中跑出来了",ascii,Broke free!,pending_semantic_review,
12,0x03024E,122,,19,pointer_table,high,0x03003F,11,0x030230,"
抓到了",ascii,was caught!,pending_semantic_review,
13,0x030262,123,,10,pointer_table,high,0x030047,15,0x030264,"
使用了",ascii,sent out,pending_semantic_review,
14,0x03026D,124,,22,pointer_table,high,0x030049,16,0x03026C,"
不行!胜负的关键不能逃!",ascii,Can't run from trainer,pending_semantic_review,
15,0x030290,125,,24,pointer_table,high,0x030051,20,0x03029E,"
不行!这是偷盗行为!",ascii,Trainer blocked the ball,pending_semantic_review,
16,0x0302A9,126,,20,pointer_table,high,0x030053,21,0x0302B2,"
请准备应战",ascii,Your turn!,pending_semantic_review,
17,0x0302BF,127,,5,pointer_table,high,0x030055,22,0x0302BE,"
使用",ascii,used,pending_semantic_review,
18,0x0302C5,128,,9,pointer_table,high,0x030057,23,0x0302C4,"
效果一般!",ascii,Good Hit!,pending_semantic_review,
19,0x0302CF,129,,20,pointer_table,high,0x03005B,25,0x0302DA,"
效果不好!",ascii,Not very effective!,pending_semantic_review,
20,0x0302E4,5417,,9,pointer_table,high,0x03005D,26,0x0302E5,"
没有效果!",ascii,Missed!,pending_semantic_review,
21,0x0302EE,130,,11,pointer_table,high,0x03005F,27,0x0302F0,"
中毒了",ascii,is poisoned,pending_semantic_review,
22,0x0302FA,131,,9,pointer_table,high,0x03006B 0x03006D,33 34,0x030322 0x03032C,"
中剧毒了
---

害怕了",ascii,Flinched,pending_semantic_review,
23,0x030304,132,,9,pointer_table,high,0x030065,30,0x030308,"
被烧伤了",ascii,is burned,pending_semantic_review,
24,0x03030E,133,,11,pointer_table,high,0x030067,31,0x030312,"
混乱了",ascii,is confused,pending_semantic_review,
25,0x03031A,134,,9,pointer_table,high,0x030069,32,0x03031A,"
冰冻了",ascii,is frozen,pending_semantic_review,
