surface,stable_key,domain,source_text,previous_english,reviewed_english,status,review_class,reason,encoded_length,layout
catalogue,MAIN:0x0301C4,fixed_or_dynamic,南晶公司版权所有,(c) Nanjing Co. All rights reserved.,(c) Nanjing Co. All rights reserved.,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",36,
catalogue,MAIN:0x0301D7,fixed_or_dynamic,出来了!, appeared!, appeared!,corrected,dynamic_layout_24,Keeps the wild-appearance suffix on the engine-provided second row.,10,
catalogue,MAIN:0x0301EB,fixed_or_dynamic,冲啊!,Go! ,Go! ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",4,
catalogue,MAIN:0x0301F0,fixed_or_dynamic,野生的,Wild ,Wild ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x0301F9,fixed_or_dynamic,不行了!, fainted!, fainted!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x030203,fixed_or_dynamic,经验值得到了!,Exp. gained!,Exp. gained!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",12,
catalogue,MAIN:0x030210,fixed_or_dynamic,情况不妙快逃!,Got away safely!,Got away safely!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",16,
catalogue,MAIN:0x030221,fixed_or_dynamic,小智使用了,Ash used ,Ash used ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x03022A,fixed_or_dynamic,将,Gotcha! ,Gotcha! ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",8,
catalogue,MAIN:0x030230,fixed_or_dynamic,不行啊!,Oh no! ,Oh no! ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x030242,fixed_or_dynamic,从精灵球中跑出来了, broke out of the Poké Ball!, broke free!,corrected,dynamic_layout_24,Uses the compact Gen I capture-failure formula on the engine-provided second row.,12,
catalogue,MAIN:0x03024E,fixed_or_dynamic,抓到了, was caught!, was caught!,corrected,dynamic_layout_24,Keeps the capture-success suffix on the engine-provided second row.,12,
catalogue,MAIN:0x030262,fixed_or_dynamic,使用了, sent out , sent out ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",10,
catalogue,MAIN:0x03026D,fixed_or_dynamic,不行!胜负的关键不能逃!,No! There's no running from a Trainer battle!,"No! There's no running
from a Trainer battle!",corrected,dynamic_layout_24,Keeps the complete Gen I Trainer-battle escape formula across two bounded rows.,45,
catalogue,MAIN:0x030290,fixed_or_dynamic,不行!这是偷盗行为!,No! That would be stealing!,"No! That would be
stealing!",corrected,dynamic_layout_24,Keeps the complete Gen I stealing warning across two bounded rows.,27,
catalogue,MAIN:0x0302A9,fixed_or_dynamic,请准备应战,Your turn!,Your turn!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",10,
catalogue,MAIN:0x0302BF,fixed_or_dynamic,使用, used , used ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
