stable_key,entry_index,issue_kind,alignment_method,alignment_confidence,candidate_pointer_references,candidate_chinese_record_indexes,candidate_chinese_offsets,candidate_chinese_text,selected_source_method,selected_pointer_references,selected_chinese_record_indexes,selected_chinese_offsets,selected_chinese_text,resolution_status,review_status,note
MAIN:0x030203,6,medium_confidence_containing_offset,containing_offset,medium,,7,0x030202,经验值得到了!,ai_review_structural_record,0x030037,7,0x030202,经验值得到了!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x030203: selected record(s) 7, offset(s) 0x030202, pointer reference(s) 0x030037. Proof: pointer/record topology and exact pinned Unicode record. English wording was not translated or reviewed."
MAIN:0x030428,47,medium_confidence_exact_offset,exact_offset,medium,,58,0x030428,学会了,ai_review_exact_record,,58,0x030428,学会了,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x030428: selected record(s) 58, offset(s) 0x030428, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact storage offset and exact pinned Unicode record. English wording was not translated or reviewed."
MAIN:0x0305E8,80,medium_confidence_containing_offset,containing_offset,medium,,113,0x0305E7,战斗,ai_review_structural_record,0x03010F,113,0x0305E7,战斗,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0305E8: selected record(s) 113, offset(s) 0x0305E7, pointer reference(s) 0x03010F. Proof: pointer/record topology and exact pinned Unicode record. English wording was not translated or reviewed."
MAIN:0x0310FB,157,unaligned_non_dialogue,unaligned,low,,,,,ai_review_direct_compact_payload,0x030F99,,0x0310FB,火花,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0310FB: selected record(s) N/A (direct compact payload), offset(s) 0x0310FB, pointer reference(s) 0x030F99. Proof: direct move-name payload and its table pointer. English wording was not translated or reviewed."
MAIN:0x0311E7,188,medium_confidence_containing_offset,containing_offset,medium,,381,0x0311E0,百力吸取,ai_review_shadow_fragment_owner,0x030FD7,383,0x0311F4,蔓藤鞭,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0311E7: selected record(s) 383, offset(s) 0x0311F4, pointer reference(s) 0x030FD7. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x0311FF,192,medium_confidence_containing_offset,containing_offset,medium,,384,0x0311FC,飞叶快刀,ai_review_shadow_fragment_owner,0x030FDD,386,0x03120E,刃叶斩,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0311FF: selected record(s) 386, offset(s) 0x03120E, pointer reference(s) 0x030FDD. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x031286,210,medium_confidence_exact_offset,exact_offset,medium,,400,0x031286,扔泥,ai_review_shadow_fragment_owner,0x030FFF,403,0x03129C,骨头击,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x031286: selected record(s) 403, offset(s) 0x03129C, pointer reference(s) 0x030FFF. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x0312BC,217,medium_confidence_containing_offset,containing_offset,medium,,407,0x0312BA,扔沙,ai_review_shadow_fragment_owner,0x03100B,409,0x0312C6,岩石封杀,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0312BC: selected record(s) 409, offset(s) 0x0312C6, pointer reference(s) 0x03100B. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x0312F2,225,medium_confidence_containing_offset,containing_offset,medium,,414,0x0312EC,银色之风,ai_review_shadow_fragment_owner,0x031019,416,0x031300,威力角突,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0312F2: selected record(s) 416, offset(s) 0x031300, pointer reference(s) 0x031019. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x0312FC,227,medium_confidence_containing_offset,containing_offset,medium,,415,0x0312F6,信号光线,ai_review_shadow_fragment_owner,0x03101B,417,0x03130A,萤火,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0312FC: selected record(s) 417, offset(s) 0x03130A, pointer reference(s) 0x03101B. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x03145D,274,medium_confidence_containing_offset,containing_offset,medium,,462,0x031458,睡眠,ai_review_shadow_fragment_owner,0x031079,464,0x031468,瞑想,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03145D: selected record(s) 464, offset(s) 0x031468, pointer reference(s) 0x031079. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x0314F1,295,medium_confidence_containing_offset,containing_offset,medium,,482,0x0314EA,钢之爪,ai_review_shadow_fragment_owner,0x0310A1,484,0x0314FA,钢之尾,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0314F1: selected record(s) 484, offset(s) 0x0314FA, pointer reference(s) 0x0310A1. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
