offset_hex,line,layout,max_len,source_en,fr_text,fr_len,overflow
0x0301C4,6029,,17,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,(c) Nanjing - tous droits réservés.,35,YES
0x0301EB,5819,,4,Go! ,Vas-y! ,7,YES
0x030230,120,,16,000000000Oh No! ,000000000Oh non! ,17,YES
0x03024E,122,,19,00000000was caught!,00000000est capturé!,20,YES
0x030290,125,,24,Trainer blocked the ball,Le Dresseur bloque la Poké Ball!,32,YES
0x0302EE,130,,11,is poisoned,est empoisonné,14,YES
0x030381,6031,,16,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>,subit des dégâts du poison grave !,34,YES
0x030392,6032,,13,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>,a trop peur pour agir !,23,YES
0x0303A1,5820,,5, Rose, Monte,6,YES
0x0303C8,6033,,13,000<BBA4><B9D4><B0F9><BBA5><B0F8>,a fortement baissé !,20,YES
0x0303E6,6034,,4,<B0D8><B0D8>,Merci,5,YES
0x0303EB,6035,,4,<B0D8><B0D8>,Merci,5,YES
0x030417,5821,,5,Wow! ,Ouah! ,6,YES
0x03041D,5420,,10,Oh!A Wild ,Oh!Sauvage ,11,YES
0x030458,6039,,6,<B0C3><B4C3><B1F9>,veut apprendre,14,YES
0x030479,146,,11,Which move?,Quelle attaque?,15,YES
0x0304C2,6042,,12,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>,concentre la lumière du soleil !,32,YES
0x0304CF,6043,,11,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>,libère l'énergie solaire !,26,YES
0x0304DB,6044,,11,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>,s'enfouit sous terre !,22,YES
0x0304E7,6045,,9,<0A><BBA4><B9D4><B4AB><B4AC>,attaque rapidement !,20,YES
0x0304F1,6046,,9,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !,23,YES
0x0304FB,6047,,9,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !,29,YES
0x030505,6048,,9,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !,23,YES
0x03050F,6049,,9,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !,29,YES
0x030519,6050,,9,<0A><BBAA><B6B8><B0CF><B4F1>,cesse d'accumuler de l'énergie !,32,YES
0x030523,6051,,9,<0A><B1AC><B1E5><B8AF><B1A2>,s'envole haut dans le ciel !,28,YES
0x03052D,6052,,9,<0A><BBAB><B4B9><B1D1><B4AC>,frappe au péril de sa vie !,27,YES
0x030537,6053,,9,<0A><BBAA><B6B8><B6DD><B0E3>,concentre une force mystique !,30,YES
0x030541,6054,,9,<0A><B6DD><B0E3><BBA8><B0A4>,libère sa force mystique !,26,YES
0x03054B,6055,,9,<0A><B6EC><B2D7><B3E5><B0FC>,prévoit une attaque !,21,YES
0x030555,6056,,17,<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>,subit l'attaque Prescience !,28,YES
0x030567,6057,,7,<0A><B9B3><B8AB><B0F8>,dévore le rêve de,17,YES
0x030575,6059,,7,<0A><B2F4><BAF0><B0F8>,entre en colère !,17,YES
0x03057D,6060,,9,<0A><B4A9><B0DB><B9BA><B9BB>,est maudit !,12,YES
0x0305F5,5426,,9,   00Item,   00Objet,10,YES
0x030621,5824,,5,Acc.:,Préc.:,6,YES
0x03062E,5825,,5,Wild ,Sauv. ,6,YES
0x030646,179,,18,Send another PKMN?,Envoyer un Pokémon?,19,YES
0x030659,180,,6,Yes No,Oui Non,7,YES
0x03067D,151,,16,000Grew to level,000Monte au niv. ,17,YES
0x03068E,5422,,15,0000000already ,0000000déjà     ,16,YES
0x0306C9,181,,13,Recovered HP!,PV restaurés !,14,YES
0x0306D7,6063,,9,<B0CE><B0EC><B3A9><B0B2>!,ne peut pas agir !,18,YES
