stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,source_capacity_bytes,compression,compression_justification,fidelity_comment,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x0381F6,MAIN,1139,D0270,In-game dialogue,0x0381F6,0x038043,0x038043,dialogue_19_19,,1214,0x0381F6,小智使用了冲浪术,graphical_codes,<0A><B0B6><B0B7><B1A7><B1A8><B0F8><B1AF><B1B0><B1AE>,ASH used SURF!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,17,no,,"Preserves Ash as the user and Surf as the technique, using the matching official English move name.",,,,
MAIN:0x038208,MAIN,1140,D0271,In-game dialogue,0x038208,0x038045,0x038045,dialogue_19_19,,1215,0x038208,小智使用了怪力术,graphical_codes,<0A><B0B6><B0B7><B1A7><B1A8><B0F8><B0CA><B0E3><B1AE>,ASH used STRENGTH!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,17,no,,"Preserves Ash as the user and Strength as the technique, using the matching official English move name.",,,,
MAIN:0x03821A,MAIN,1141,D0272,In-game dialogue,0x03821A,0x038047,0x038047,dialogue_19_19,,1216,0x03821A,这块石头好像能被推动,graphical_codes,<0A><B0EE><B1B1><B1B2><B1B3><B1B4><B1B5><B0EC><B1B6><B1B7><B0B2>,This boulder may move.,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,21,yes,"Uses shorter direct clauses and removes English-only scaffolding, reducing this entry from 45 to 24 formatted bytes while retaining every Chinese-source detail identified in the fidelity comment.",Compressed directly against the Chinese source. Directly preserves the observation that the boulder appears movable by pushing.,,,,
MAIN:0x038230,MAIN,1142,D0273,In-game dialogue,0x038230,0x038049,0x038049,dialogue_19_19,,1217,0x038230,这棵树苗好像能被斩断,ascii,This tree can be cut!,This tree can be cut down!,english_2015_verified_against_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,23,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.",Corrected against the Chinese source: the tree only seems cuttable; the line does not assert certainty. Full-text review: Uses the official Gen I field-action wording instead of 'cuttable'.,,,,
MAIN:0x038445,MAIN,1143,D0274,In-game dialogue,0x038445,,0x03018D 0x03018F 0x030191,dialogue_19_19,PROF. OAK,175 176 177,0x03082B 0x03087F 0x0308BA,"你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!小智,一个将属于你的故事,梦想即将开始!",graphical_codes," <B0C5><B1B4>!<B0D2><B0D3><B0C5><B0E4><B0E5><B0C0><B0C1><B0A1><B0A2><B0BC><B1BC><B1BD>!<B1BE><B1BF><B1C0><B1C1><B1C2><B1BE><B1C3><B1C4><B1C5>,<B0B8><B0EE><B1BC><B1BD><B1C6><B1C7><B1B6><B1C8><B0EA><B0C0><B0C1><B0A1><B0A2><B0BC><B1C9><B0C1>!<B0EE><B1C9><B0C1><B1B6><B1CA><B0EA><B0C0><B0C1>,<B1CB><B1A7><B1A8><B1CC><B0E7><B0F2><B1CD><B1CD>.<B1CE><B1C2><B0C2><B1CF><B1D0><B0EE><B0C0><B0C1><B0A1><B0A2><B0BC>!<B0B6><B0B7>,<B1D1><B0BA><B1D2><B1D3><B1CC><B0C5><B0BC><B1D4><B1D5>,<B1D6><B1D7><B1D8><B1D2><B1D9><B1DA>!","PROF. OAK: Hello there! Welcome to the world of Pokémon! I'm Oak, the Pokémon Prof.! Pokémon live here as pets or fighters. I study them! Ash, your own Pokémon story and dreams begin now!",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,unaligned,low,reviewed_source_adjudication,ai_source_reviewed,177,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x0384F8,MAIN,1144,D0275,In-game dialogue,0x0384F8,,,dialogue_19_19,GARY,1219,0x03854C,"小茂:嗨!小智,你要找大木爷爷的话,他不在喔!我也是听他说要给宠物精灵才赶紧来的...",ascii,YO ASH! Gramps isn't around!,"GARY: Yo, Ash! Gramps isn't around! I ran here 'cos he said he had a Pokémon for me.",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,32,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x038519,MAIN,1145,D0276,In-game dialogue,0x038519,,,dialogue_19_19,PROF. OAK,1220,0x03859D,大木:真是危险!野生精灵会从草丛中跳出来的!你如有宠物精灵是可与他对战...对了!跟我来一下吧!,ascii,"Hey! Wait! Don't goout! It's unsafe! Wild Pok@mon live in tall grass! You need your own Pok@mon for safety.I know! Here, come with me!","PROF. OAK: It's dangerous! Wild Pokémon jump out of the grass! If you had your own Pokémon, you could battle them... That's it! Come with me!",official_english_gen1_reviewed_chinese_specific_retained_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,141,no,,Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.,,,,
MAIN:0x0385A7,MAIN,1146,D0277,In-game dialogue,0x0385A7,,,dialogue_19_19,GARY,1221,0x0385F8,"小茂:爷爷,你回来了!",ascii,Gary:Hey Gramps! I'm fed up with waiting!,"GARY: Gramps, you're back!",translated_directly_from_reviewed_chinese_source_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,46,no,,Restores Gary's simple greeting on Oak's return and removes the unsupported complaint about waiting.,,,,
MAIN:0x0385D6,MAIN,1147,D0278,In-game dialogue,0x0385D6,,,dialogue_19_19,GARY,1223,0x038690,小茂:啊!...啊!偏心!爷爷我也要!,ascii,Hey! Gramps! What about me?,"GARY: Hey! That's not fair! Gramps, I want one too!",official_english_gen1_reviewed_chinese_specific_retained_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,28,no,,Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.,,,,
MAIN:0x0385F3,MAIN,1148,D0279,In-game dialogue,0x0385F3,,,dialogue_19_19,PROF. OAK,1224,0x0386B1,大木:小茂你急什么!我等一下也会给你的,ascii,"Be patient Gary, I'll give you one later.","OAK: Be patient, Gary. I'll give you one later.",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,44,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x038620,MAIN,1149,D0280,In-game dialogue,0x038620,,,dialogue_19_19,GARY,1225,0x0386D8,小茂:哼!我一定能拿到比你好的!,ascii,"Humph! I'll get a better Pok@mon thanyou,Ash!",GARY: Humph! I'll get a better Pokémon than you!,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,46,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x03864F,MAIN,1150,D0281,In-game dialogue,0x03864F,,,dialogue_19_19,GARY,1226,0x0386F8,"小茂:小智,这个可是我的!",ascii,No way Ash! I want this Pok@mon!,"GARY: Ash, this one is mine!",official_english_gen1_reviewed_chinese_specific_retained_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,32,no,,Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.,,,,
MAIN:0x038670,MAIN,1151,D0282,In-game dialogue,0x038670,0x03825D,0x03825D,dialogue_19_19,PROF. OAK,1227,0x038712,大木:喂!什么!你在做什么!,ascii,Gary! What are you doing?,OAK: Gary! What are you doing?,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,25,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x03868A,MAIN,1152,D0283,In-game dialogue,0x03868A,0x03825F,0x03825F,dialogue_19_19,GARY,1228,0x03872C,小茂:爷爷!人家就是想要这个嘛!,ascii,"Gramps,I want this one!","GARY: Gramps, I want this one!",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,23,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x0386A2,MAIN,1153,D0284,In-game dialogue,0x0386A2,0x038261,0x038261,dialogue_19_19,PROF. OAK,1229,0x03874B,"大木:真是拿你没办法,好吧!那个宠物精灵就给你吧!反正是早晚的是...小智,你来一下好吗?",ascii,"Oak:But, I...Oh,allright then. That Pok@mon is yours. Iwas going to give you one anyway... Ash,come over here.","OAK: All right! That Pokémon is yours. You'd get one anyway... Ash, come.",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,114,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x038715,MAIN,1154,D0285,In-game dialogue,0x038715,0x038263,0x038263,dialogue_19_19,PROF. OAK,1230,0x03879E,大木:这里还有一只是刚刚抓的.和人还不是能亲近的,ascii,"Oak:Ash, this is a Pok@mon I caught earlier.",OAK: I just caught this one. It isn't tame yet.,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,46,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.","Corrected against the Chinese source: restores that another Pokémon remains, was just caught, and is not yet accustomed to people. Full-text review: Replaces two compressed fragments with complete sentences.",,,,
MAIN:0x038744,MAIN,1155,D0286,In-game dialogue,0x038744,0x038265,0x038265,dialogue_19_19,,1231,0x0387CE,得到比卡丘,ascii,You can have it.,Got Pikachu!,official_english_gen1_reviewed_chinese_specific_retained_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,16,no,,Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.,,,,
MAIN:0x038755,MAIN,1156,D0287,In-game dialogue,0x038755,0x038267,0x038267,dialogue_19_19,GARY,1232,0x0387DA,小茂:刚得到精灵就当我的对手练习练习吧!,ascii,"Gary:Wait Ash! Let's check out ourPok@mon! Come on, I'll take you on!","GARY: Wait, Ash! Let's test our new Pokémon! I'll take you on!",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,74,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x0387A0,MAIN,1157,D0288,In-game dialogue,0x0387A0,0x038269,0x038269,dialogue_19_19,GARY,1233,0x038802,"小茂:这不是开玩笑吗,你的精灵这么强??好吧,那我就去找别的精灵对战!好让我的精灵更强!小智.爷爷,再见了!",ascii,Okay! I'll make my Pok@mon fight to toughen it up! Ash!Gramps! Smell you later!,"GARY: So strong? I'll fight others to train mine. Bye, Ash! Bye, Gramps!",translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,82,yes,"Uses shorter direct clauses and removes English-only scaffolding, reducing this entry from 150 to 74 formatted bytes while retaining every Chinese-source detail identified in the fidelity comment.","Compressed directly against the Chinese source. Keeps Gary's shock at the opponent's strength, new training plan through other battles, and separate farewells to Ash and Grandpa.",,,,
MAIN:0x0387F3,MAIN,1158,D0289,In-game dialogue,0x0387F3,0x038271,0x038271,dialogue_19_19,,1237,0x0388C1,"店员:你是从真新镇来的吧?你知道大木博士吧.这是他要的东西,请转交给他!",ascii,"Hey! You came from Pallet Town? You know ProfOak,right?His order came in, can you take it to him? Thank you.","You're from Pallet Town, right? You know Prof. Oak? Please deliver this order to him.",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,110,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Restores every source question and the delivery request in natural English. Omits the contextual one-speaker label 'CLERK', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
MAIN:0x038862,MAIN,1159,D0290,In-game dialogue,0x038862,0x03826B,0x03826B,dialogue_19_19,,1234,0x038866,"老爷爷:你等等,听听我的话",graphical_codes,"00000<B2CE><B1EE><B1EE>:<B0C5><B1CD><B1CD>,<B1F1><B1F1><B1C2><B0BC><B1EF>",Wait! Hear me out.,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,29,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Uses the idiomatic request. Omits the contextual one-speaker label 'OLD MAN', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
MAIN:0x038880,MAIN,1160,D0291,In-game dialogue,0x038880,0x03826D,0x03826D,dialogue_19_19,,1235,0x038880,老爷爷:你还去?,graphical_codes,<0A><B2CE><B1EE><B1EE>:<B0C5><B2BD><B0C7>?,Going on?,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,15,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.",Compressed directly against the Chinese source. Preserves the old man's short follow-up question about continuing onward.,,,,
MAIN:0x038891,MAIN,1161,D0292,In-game dialogue,0x038891,0x038417,0x038417,dialogue_19_19,,1448,0x03AB63,士兵:请进,ascii,Lt.Surge hid a switch inside the cans!,Come in.,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,43,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Replaces the unnatural one-word command 'Enter'. Omits the contextual one-speaker label 'SOLDIER', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
