id,stable_key,pointer_reference_hex,chinese_text,english_2015,french_reference_text,status
D0971,RESTORED:0x033137,0x033137,武藏:我们是穿过银河系的即将解散的火箭队!,ABSENT — dialogue removed from the English ROM,"JESSIE :
La Team Rocket
traverse l'espace !
Sa fin est proche !",restored and verified in the French ROM
D0972,RESTORED:0x033139,0x033139,"小次郎:黑洞,没有明天的黑色在等着我们!",ABSENT — dialogue removed from the English ROM,JAMES : Trou noir ! Aucun lendemain !,restored and verified in the French ROM
D0973,RESTORED:0x03313B,0x03313B,喵喵:就是这样!!,ABSENT — dialogue removed from the English ROM,MIAOUSS : C'est ça !,restored and verified in the French ROM
D0974,RESTORED:0x03313D,0x03313D,小次郎:怎么没次都这样...,ABSENT — dialogue removed from the English ROM,JAMES : Pourquoi toujours pareil...,restored and verified in the French ROM
D0975,RESTORED:0x03313F,0x03313F,武藏:好讨厌的感觉哟...,ABSENT — dialogue removed from the English ROM,JESSIE : C'est affreux...,restored and verified in the French ROM
D0976,RESTORED:0x033141,0x033141,喵喵:喵...,ABSENT — dialogue removed from the English ROM,MIAOUSS : Miaouss...,restored and verified in the French ROM
D0977,RESTORED:0x033193,0x033193,小智:超梦?,ABSENT — dialogue removed from the English ROM,SACHA : Mewtwo ?,restored and verified in the French ROM
D0978,RESTORED:0x033195,0x033195,"加纳:是火箭队干的好事,他们用梦幻的遗传基因克隆出来的精灵...幸好你及时发现了才没有造成大的轰动!我也该返回联盟了那么随时欢迎你到联盟挑战!",ABSENT — dialogue removed from the English ROM,"OLGA :
La Team Rocket
a cloné Mewtwo
avec l'ADN de Mew.
Tu l'as trouvé.
Juste à temps !
Je file à la Ligue.
Viens nous défier !",restored and verified in the French ROM
D0979,RESTORED:0x033197,0x033197,小智:一定会的!,ABSENT — dialogue removed from the English ROM,"SACHA :
Compte sur moi !",restored and verified in the French ROM
D0980,RESTORED:0x033199,0x033199,"加纳:啊,对了!我有件礼物要送给你!朋友给我的梦幻旅行船票...但我因为还有联盟的事情没时间去作为答谢就送给你了.",ABSENT — dialogue removed from the English ROM,"OLGA :
Un ami m'a donné
ce Ticket Mystik.
La Ligue m'occupe.
C'est ton cadeau !",restored and verified in the French ROM
D0981,RESTORED:0x0331B3,0x0331B3,武藏:既然你诚心诚意的问了,ABSENT — dialogue removed from the English ROM,"JESSIE :
Nous revoilà !",restored and verified in the French ROM
D0982,RESTORED:0x0331B5,0x0331B5,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue removed from the English ROM,JAMES : Un mauvais tour vous attend !,restored and verified in the French ROM
D0983,RESTORED:0x0331B7,0x0331B7,武藏:为了防止世界被破坏,ABSENT — dialogue removed from the English ROM,"JESSIE :
Préservons le monde
de la dévastation !",restored and verified in the French ROM
D0984,RESTORED:0x0331B9,0x0331B9,小次郎:为了维护世界的和平.,ABSENT — dialogue removed from the English ROM,"JAMES : Peuples du monde, ralliez notre nation !",restored and verified in the French ROM
D0985,RESTORED:0x0331BB,0x0331BB,武藏:坚持爱与真实的罪恶,ABSENT — dialogue removed from the English ROM,JESSIE : Écrasons amour et vérité !,restored and verified in the French ROM
D0986,RESTORED:0x0331BD,0x0331BD,小次郎:最有魅力的反派人物!,ABSENT — dialogue removed from the English ROM,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restored and verified in the French ROM
D0987,RESTORED:0x0331BF,0x0331BF,武藏:武藏!,ABSENT — dialogue removed from the English ROM,JESSIE : Jessie !,restored and verified in the French ROM
D0988,RESTORED:0x0331C1,0x0331C1,小次郎:小次郎!,ABSENT — dialogue removed from the English ROM,JAMES : James !,restored and verified in the French ROM
D0989,RESTORED:0x0331C3,0x0331C3,武藏:我们是穿过银河系的南晶队!,ABSENT — dialogue removed from the English ROM,"JESSIE :
La Team Nanjing,
plus rapide
que la lumière !",restored and verified in the French ROM
D0990,RESTORED:0x0331C5,0x0331C5,"小次郎:白洞,白色的明天在等着我们!",ABSENT — dialogue removed from the English ROM,"JAMES : Rendez-vous, sinon guerre à vous !",restored and verified in the French ROM
D0991,RESTORED:0x0331C7,0x0331C7,喵喵:说的对!喵...,ABSENT — dialogue removed from the English ROM,"MIAOUSS : Miaouss, oui la guerre !",restored and verified in the French ROM
D0992,RESTORED:0x0331C9,0x0331C9,"小次郎:我们现在跟了新的老大,已经不是从前的我们了!!",ABSENT — dialogue removed from the English ROM,"JAMES : Nouveau Boss, on a changé !",restored and verified in the French ROM
D0993,RESTORED:0x0331D1,0x0331D1,"小次郎:尽管你的实力非常强,但是碰上我们新老大卡美优的精灵只有落败的份!哈哈哈",ABSENT — dialogue removed from the English ROM,"JAMES : Tu es fort.
Pourtant,
notre nouveau chef,
Kameiyu, te battra
avec ses Pokémon !
Ha ha !",restored and verified in the French ROM
D0994,RESTORED:0x038313,0x038313,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue removed from the English ROM,JAMES : Un mauvais tour vous attend !,restored and verified in the French ROM
D0995,RESTORED:0x038315,0x038315,武藏:为了防止世界被破坏,ABSENT — dialogue removed from the English ROM,"JESSIE :
Préservons le monde
de la dévastation !",restored and verified in the French ROM
D0996,RESTORED:0x038317,0x038317,小次郎:为了维护世界的和平.,ABSENT — dialogue removed from the English ROM,"JAMES : Peuples du monde, ralliez notre nation !",restored and verified in the French ROM
D0997,RESTORED:0x038319,0x038319,武藏:坚持爱与真实的罪恶,ABSENT — dialogue removed from the English ROM,JESSIE : Écrasons amour et vérité !,restored and verified in the French ROM
D0998,RESTORED:0x03831B,0x03831B,小次郎:最有魅力的反派人物!,ABSENT — dialogue removed from the English ROM,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restored and verified in the French ROM
D0999,RESTORED:0x03831D,0x03831D,武藏:武藏!,ABSENT — dialogue removed from the English ROM,JESSIE : Jessie !,restored and verified in the French ROM
D1000,RESTORED:0x03831F,0x03831F,小次郎:小次郎!,ABSENT — dialogue removed from the English ROM,JAMES : James !,restored and verified in the French ROM
D1001,RESTORED:0x038321,0x038321,武藏:我们是穿过银河系的火箭队!,ABSENT — dialogue removed from the English ROM,"JESSIE :
La Team Rocket,
plus rapide
que la lumière !",restored and verified in the French ROM
