offset_hex,line,layout,max_len,source_en,fr_text,fr_len,overflow
0x0301C4,6029,,17,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,(c) Nanjing - tous droits réservés.,35,YES
0x0301D7,114,,19,0000000000Appeared!,0000000000Apparaît!,19,
0x0301EB,5819,,4,Go! ,Vas-y! ,7,YES
0x0301F0,6030,,8,00<B1F8><B1C9><B0BC>,sauvage,7,
0x0301F9,115,,9, Fainted!, K.O.!  ,8,
0x030203,116,,12, Experience!, Exp gagnée!,12,
0x030210,117,,16,Got away safely!,Fuite réussie!  ,16,
0x030221,118,,8,Threw a ,Lance  ,7,
0x03022A,119,,5,Yes! ,Oui! ,5,
0x030230,120,,16,000000000Oh No! ,000000000Oh non! ,17,YES
0x030242,121,,11,Broke free!,S'échappe! ,11,
0x03024E,122,,19,00000000was caught!,00000000est capturé!,20,YES
0x030262,123,,10,0sent out ,0envoie   ,10,
0x03026D,124,,22,Can't run from trainer,Fuite impossible!    ,21,
0x030290,125,,24,Trainer blocked the ball,Le Dresseur bloque la Poké Ball!,32,YES
0x0302A9,126,,20,0000000000Your turn!,0000000000À ton tour,20,
0x0302BF,127,,5, used, util,5,
0x0302C5,128,,9,Good Hit!,Bon coup!,9,
0x0302CF,129,,20,0Not very effective!,0Peu efficace!     ,19,
0x0302E4,5417,,9,00Missed!,00Raté!,7,
0x0302EE,130,,11,is poisoned,est empoisonné,14,YES
0x0302FA,131,,9, Flinched, Recule ,8,
0x030304,132,,9,is burned,est brûlé,9,
0x03030E,133,,11,is confused,est confus ,11,
0x03031A,134,,9,is frozen,est gelé ,9,
0x030324,135,,28,000000is hurt due to poison!,000000souffre du poison!    ,28,
0x030341,136,,9,is asleep,dort     ,9,
0x03034B,137,,24,0is hurt from it's burn!,0souffre de brûlure!    ,24,
0x030364,138,,14,000is confused,000est confus,13,
0x030373,139,,13,0000is frozen,0000est gelé,12,
0x030381,6031,,16,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>,subit des dégâts du poison grave !,34,YES
0x030392,6032,,13,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>,a trop peur pour agir !,23,YES
0x0303A1,5820,,5, Rose, Monte,6,YES
0x0303A9,140,,18,  can't go higher!,  ne monte plus! ,17,
0x0303BC,5418,,11,000000 Fell,000000Chute,11,
0x0303C8,6033,,13,000<BBA4><B9D4><B0F9><BBA5><B0F8>,a fortement baissé !,20,YES
0x0303D6,141,,15, can't go lower, ne baisse plus,15,
0x0303E6,6034,,4,<B0D8><B0D8>,Merci,5,YES
0x0303EB,6035,,4,<B0D8><B0D8>,Merci,5,YES
0x0303F0,6036,,5,<0A><B0D8><B0D8>,Merci,5,
0x0303F6,6037,,5,<0A><B0D8><B0D8>,Merci,5,
0x0303FC,6038,,5,<0A><B0D8><B0D8>,Merci,5,
0x030403,5419,,5,What?,Quoi?,5,
0x030409,142,,13, is Evolving!, évolue!    ,12,
0x030417,5821,,5,Wow! ,Ouah! ,6,YES
0x03041D,5420,,10,Oh!A Wild ,Oh!Sauvage ,11,YES
0x030428,143,,8, learned, apprend,8,
0x03043F,144,,24,000000more than 4 moves!,000000Déjà 4 attaques!,22,
0x030458,6039,,6,<B0C3><B4C3><B1F9>,veut apprendre,14,YES
0x03045F,145,,7,Forgot ,Oublie ,7,
