pointer_reference_hex,chinese_record_index,chinese_offset_hex,chinese_text,english_pointer_bytes_hex,english_pointer_status,source_status
0x033137,928,0x0331FE,"
武藏:我们是穿过银河系的即将解散的火箭队!",3030,invalid,removed_from_english_rom
0x033139,929,0x033228,"
小次郎:黑洞,没有明天的黑色在等着我们!",3030,invalid,removed_from_english_rom
0x03313B,930,0x03324F,"
喵喵:就是这样!!",3030,invalid,removed_from_english_rom
0x03313D,931,0x033260,"
小次郎:怎么没次都这样...",3030,invalid,removed_from_english_rom
0x03313F,932,0x03327A,"
武藏:好讨厌的感觉哟...",3030,invalid,removed_from_english_rom
0x033141,933,0x033292,"
喵喵:喵...",3030,invalid,removed_from_english_rom
0x033193,974,0x033D93,"
小智:超梦?",3030,invalid,removed_from_english_rom
0x033195,975,0x033D9F,"
加纳:是火箭队干的好事,他们用梦幻的遗传基因克隆出来的精灵...幸好你及时发现了才没有造成大的轰动!我也该返回联盟了那么随时欢迎你到联盟挑战!",3030,invalid,removed_from_english_rom
0x033197,976,0x033E28,"
小智:一定会的!",3030,invalid,removed_from_english_rom
0x033199,977,0x033E38,"
加纳:啊,对了!我有件礼物要送给你!朋友给我的梦幻旅行船票...但我因为还有联盟的事情没时间去作为答谢就送给你了.",3030,invalid,removed_from_english_rom
0x0331B3,990,0x0342A6,"
武藏:既然你诚心诚意的问了",3030,invalid,removed_from_english_rom
0x0331B5,991,0x0342C1,"
小次郎:那我就大发慈悲的告诉你们!",3030,invalid,removed_from_english_rom
0x0331B7,992,0x0342E3,"
武藏:为了防止世界被破坏",3030,invalid,removed_from_english_rom
0x0331B9,993,0x0342FC,"
小次郎:为了维护世界的和平.",3030,invalid,removed_from_english_rom
0x0331BB,994,0x034318,"
武藏:坚持爱与真实的罪恶",3030,invalid,removed_from_english_rom
0x0331BD,995,0x034331,"
小次郎:最有魅力的反派人物!",3030,invalid,removed_from_english_rom
0x0331BF,996,0x03434D,"
武藏:武藏!",3030,invalid,removed_from_english_rom
0x0331C1,997,0x034359,"
小次郎:小次郎!",3030,invalid,removed_from_english_rom
0x0331C3,998,0x034369,"
武藏:我们是穿过银河系的南晶队!",3030,invalid,removed_from_english_rom
0x0331C5,999,0x034389,"
小次郎:白洞,白色的明天在等着我们!",3030,invalid,removed_from_english_rom
0x0331C7,1000,0x0343AC,"
喵喵:说的对!喵...",3030,invalid,removed_from_english_rom
0x0331C9,1001,0x0343BF,"
小次郎:我们现在跟了新的老大,已经不是从前的我们了!!",3030,invalid,removed_from_english_rom
0x0331D1,1005,0x03446B,"
小次郎:尽管你的实力非常强,但是碰上我们新老大卡美优的精灵只有落败的份!哈哈哈",3030,invalid,removed_from_english_rom
0x038313,1318,0x03982F,"
小次郎:那我就大发慈悲的告诉你们!",0000,invalid,removed_from_english_rom
0x038315,1319,0x039851,"
武藏:为了防止世界被破坏",0000,invalid,removed_from_english_rom
0x038317,1320,0x03986A,"
小次郎:为了维护世界的和平.",0000,invalid,removed_from_english_rom
0x038319,1321,0x039886,"
武藏:坚持爱与真实的罪恶",0000,invalid,removed_from_english_rom
0x03831B,1322,0x03989F,"
小次郎:最有魅力的反派人物!",0000,invalid,removed_from_english_rom
0x03831D,1323,0x0398BB,"
武藏:武藏!",0000,invalid,removed_from_english_rom
0x03831F,1324,0x0398C7,"
小次郎:小次郎!",0000,invalid,removed_from_english_rom
0x038321,1325,0x0398D7,"
武藏:我们是穿过银河系的火箭队!",0000,invalid,removed_from_english_rom
0x038323,1326,0x0398F7,"
小次郎:白洞,白色的明天在等着我们!",0000,invalid,removed_from_english_rom
0x038325,1327,0x03991A,"
喵喵:说的对!喵...",0000,invalid,removed_from_english_rom
0x03AF94,1624,0x03C395,"
小智:你们是?",3030,invalid,removed_from_english_rom
0x03AF96,1625,0x03C3A3,"
武藏:既然你诚心诚意的问了",3030,invalid,removed_from_english_rom
0x03AF98,1626,0x03C3BE,"
小次郎:那我就大发慈悲的告诉你们!",3030,invalid,removed_from_english_rom
0x03AF9A,1627,0x03C3E0,"
武藏:为了防止世界被破坏",3030,invalid,removed_from_english_rom
0x03AF9C,1628,0x03C3F9,"
小次郎:为了维护世界的和平.",3030,invalid,removed_from_english_rom
0x03AF9E,1629,0x03C415,"
武藏:坚持爱与真实的罪恶",3030,invalid,removed_from_english_rom
0x03AFA0,1630,0x03C42E,"
小次郎:最有魅力的反派人物!",3030,invalid,removed_from_english_rom
0x03AFA2,1631,0x03C44A,"
武藏:武藏!",3030,invalid,removed_from_english_rom
0x03AFA4,1632,0x03C456,"
小次郎:小次郎!",3030,invalid,removed_from_english_rom
0x03AFA6,1633,0x03C466,"
武藏:我们是穿过银河系的火箭队!",3030,invalid,removed_from_english_rom
0x03AFA8,1634,0x03C486,"
小次郎:白洞,白色的明天在等着我们!",3030,invalid,removed_from_english_rom
0x03AFAA,1635,0x03C4A9,"
喵喵:说的对!喵...",3030,invalid,removed_from_english_rom
0x03AFAC,1636,0x03C4BC,"
小次郎:现在就让我们算清旧帐吧!!",3030,invalid,removed_from_english_rom
0x03AFB0,1638,0x03C4F0,"
武藏:好讨厌的感觉哟...",3030,invalid,removed_from_english_rom
0x03AFB2,1639,0x03C508,"
喵喵:喵...",3030,invalid,removed_from_english_rom
0x03AFEA,1667,0x03C852,"
小智:你们是?",3030,invalid,removed_from_english_rom
0x03AFEC,1668,0x03C860,"
武藏:既然你诚心诚意的问了",3030,invalid,removed_from_english_rom
0x03AFEE,1669,0x03C87B,"
小次郎:那我就大发慈悲的告诉你们!",3030,invalid,removed_from_english_rom
0x03AFF0,1670,0x03C89D,"
武藏:为了防止世界被破坏",3030,invalid,removed_from_english_rom
0x03AFF2,1671,0x03C8B6,"
小次郎:为了维护世界的和平.",3030,invalid,removed_from_english_rom
0x03AFF4,1672,0x03C8D2,"
武藏:坚持爱与真实的罪恶",3030,invalid,removed_from_english_rom
0x03AFF6,1673,0x03C8EB,"
小次郎:最有魅力的反派人物!",3030,invalid,removed_from_english_rom
0x03AFF8,1674,0x03C907,"
武藏:武藏!",3030,invalid,removed_from_english_rom
0x03AFFA,1675,0x03C913,"
小次郎:小次郎!",3030,invalid,removed_from_english_rom
0x03AFFC,1676,0x03C923,"
武藏:我们是穿过银河系的火箭队!",3030,invalid,removed_from_english_rom
0x03AFFE,1677,0x03C943,"
小次郎:白洞,白色的明天在等着我们!",3030,invalid,removed_from_english_rom
0x03B000,1678,0x03C966,"
喵喵:说的对!喵...",3030,invalid,removed_from_english_rom
0x03B004,1680,0x03C98C,"
武藏:好讨厌的感觉哟...",3030,invalid,removed_from_english_rom
