move_index,full_name,line_1,line_2
001,Flame Wheel,Flame,Wheel
002,Fire Punch,Fire,Punch
003,Flamethrower,Flame,thrower
004,Sacred Fire,Sacred,Fire
005,Fire Blast,Fire,Blast
007,Will-O-Wisp,Will-,O-Wisp
009,Water Gun,Water,Gun
010,Water Pulse,Water,Pulse
011,Bubble Beam,Bubble,Beam
012,Octazooka,Octa,zooka
013,Crabhammer,Crab,hammer
015,Hydro Pump,Hydro,Pump
016,Water Spout,Water,Spout
019,Thunder Shock,Thunder,Shock
020,Shock Wave,Shock,Wave
022,Thunder Punch,Thunder,Punch
023,Thunderbolt,Thunder,bolt
024,Zap Cannon,Zap,Cannon
025,Volt Tackle,Volt,Tackle
027,Thunder Wave,Thunder,Wave
029,Mega Drain,Mega,Drain
030,Giga Drain,Giga,Drain
031,Vine Whip,Vine,Whip
032,Razor Leaf,Razor,Leaf
033,Magic Leaf Slash,Magic,LeafSlsh
034,Leaf Blade,Leaf,Blade
035,Solar Beam,Solar,Beam
036,Frenzy Plant,Frenzy,Plant
037,GrassWhistle,Grass,Whistle
038,Sleep Powder,Sleep,Powder
040,Stun Spore,Stun,Spore
041,Powder Snow,Powder,Snow
043,Aurora Beam,Aurora,Beam
044,Ice Punch,Ice,Punch
047,Sheer Cold,Sheer,Cold
051,Bone Club,Bone,Club
052,Earthquake,Earth,quake
055,Sand Attack,Sand,Attack
056,Rock Throw,Rock,Throw
057,Rock Tomb,Rock,Tomb
058,Ancient Power,Ancient,Power
059,Rock Slide,Rock,Slide
060,Leech Life,Leech,Life
061,Twineedle,Twin,needle
062,Silver Wind,Silver,Wind
063,Signal Beam,Signal,Beam
065,Tail Glow,Tail,Glow
066,String Shot,String,Shot
067,Poison Sting,Poison,Sting
070,Poison Tail,Poison,Tail
071,Poison Fang,Poison,Fang
073,Sludge Bomb,Sludge,Bomb
074,Poison Gas,Poison,Gas
075,Poison Powder,Poison,Powder
077,Rock Smash,Rock,Smash
078,Mach Punch,Mach,Punch
079,Karate Chop,Karate,Chop
081,Double Kick,Double,Kick
082,Rolling Kick,Rolling,Kick
083,Vital Throw,Vital,Throw
084,Jump Kick,Jump,Kick
085,Brick Break,Brick,Break
086,Sky Uppercut,Sky,Uppercut
087,Cross Chop,Cross,Chop
088,Dynamic Punch,Dynamic,Punch
089,Superpower,Super,power
090,Focus Punch,Focus,Punch
093,Air Cutter,Air,Cutter
094,Wing Attack,Wing,Attack
095,Aerial Ace,Aerial,Ace
097,Drill Peck,Drill,Peck
099,Aeroblast,Aero,blast
100,Sky Attack,Sky,Attack
103,Mist Ball,Mist,Ball
104,Extrasensory,Extra,sensory
105,Future Sight,Future,Sight
107,Dream Eater,Dream,Eater
108,Psycho Boost,Psycho,Boost
112,Calm Mind,Calm,Mind
116,Shadow Punch,Shadow,Punch
117,Shadow Ball,Shadow,Ball
118,Nightmare,Night,mare
119,Confuse Ray,Confuse,Ray
121,Dragon Rage,Dragon,Rage
122,Dragon Breath,Dragon,Breath
123,Dragon Claw,Dragon,Claw
125,Dragon Dance,Dragon,Dance
126,Knock Off,Knock,Off
130,Metal Claw,Metal,Claw
131,Steel Wing,Steel,Wing
132,Iron Tail,Iron,Tail
133,Meteor Mash,Meteor,Mash
134,Iron Defense,Iron,Defense
136,Sonic Boom,Sonic,Boom
138,False Swipe,False,Swipe
140,Quick Attack,Quick,Attack
145,Horn Attack,Horn,Attack
146,Crush Claw,Crush,Claw
147,Secret Power,Secret,Power
148,Hyper Fang,Hyper,Fang
149,Tri Attack,Tri,Attack
150,Double-Edge,Double-,Edge
151,Hyper Beam,Hyper,Beam
152,Self-Destruct,Self-,Destruct
154,Horn Drill,Horn,Drill
157,Lovely Kiss,Lovely,Kiss
158,Supersonic,Super,sonic
159,Swords Dance,Swords,Dance
162,Defense Curl,Defense,Curl
164,Tail Whip,Tail,Whip
166,Smokescreen,Smoke,screen
168,Double Team,Double,Team
172,Whirlwind,Whirl,wind
173,Transform,Trans,form
