move_index,full_name,line_1,line_2
001,Roue de Feu,Roue,de Feu
002,Poing de Feu,Poing,de Feu
003,Lance-Flamme,Lance-,Flamme
004,Feu Sacré,Feu,Sacré
007,Feu Follet,Feu,Follet
009,Pistolet à O,Pistolet,à O
011,Bulles d'O,Bulles,d'O
012,Octazooka,Octa,zooka
013,Pince-Masse,Pince-,Masse
015,Hydrocanon,Hydro,canon
020,Onde de Choc,Onde,de Choc
022,Poing-Éclair,Poing-,Éclair
025,Électacle,Élec,tacle
026,Fatal-Foudre,Fatal-,Foudre
027,Cage-Éclair,Cage-,Éclair
029,Méga-Sangsue,Méga-,Sangsue
030,Feuille Magik,Feuille,Magik
031,Fouet Lianes,Fouet,Lianes
032,Tranch'Herbe,Tranch',Herbe
033,Poing Dard,Poing,Dard
034,Canon Graine,Canon,Graine
035,Lance-Soleil,Lance-,Soleil
036,Végé-Attaque,Végé-,Attaque
037,Siffl'Herbe,Siffl',Herbe
038,Poudre Dodo,Poudre,Dodo
040,Para-Spore,Para-,Spore
042,Vent Glace,Vent,Glace
043,Brise Glacée,Brise,Glacée
044,Poinglace,Poing,Glace
045,Laser Glace,Laser,Glace
048,Coud'Boue,Coud',Boue
049,Tir de Boue,Tir de,Boue
055,Jet de Sable,Jet de,Sable
056,Jet-Pierres,Jet-,Pierres
057,Tomberoche,Tombe,roche
058,Pouvoir Antique,Pouvoir,Antique
061,Double-Dard,Double-,Dard
062,Vent Argenté,Vent,Argenté
063,Rayon Signal,Rayon,Signal
064,Mégacorne,Méga,corne
065,Lumi-Queue,Lumi-,Queue
067,Dard-Venin,Dard-,Venin
070,Queue-Poison,Queue-,Poison
071,Crochet Venin,Crochet,Venin
073,Bomb-Beurk,Bomb-,Beurk
074,Gaz Toxik,Gaz,Toxik
075,Poudre Toxik,Poudre,Toxik
078,Éclate-Roc,Éclate-,Roc
079,Poing-Karaté,Poing-,Karaté
080,Double Pied,Double,Pied
082,Mawashi Geri,Mawashi,Geri
083,Corps Perdu,Corps,Perdu
084,Frappe Atlas,Frappe,Atlas
085,Casse-Brique,Casse-,Brique
086,Stratopercut,Strato,percut
087,Coup-Croix,Coup-,Croix
089,Poing Boost,Poing,Boost
090,Mitra-Poing,Mitra-,Poing
093,Tranch'Air,Tranch',Air
095,Aéropique,Aéro,pique
097,Bec Vrille,Bec,Vrille
099,Aéroblast,Aéro,blast
101,Choc Mental,Choc,Mental
102,Rafale Psy,Rafale,Psy
103,Ball'Brume,Ball',Brume
105,Psykoud'Boul,Psykoud',Boul
108,Psycho-Boost,Psycho-,Boost
116,Poing Ombre,Poing,Ombre
117,Ball'Ombre,Ball',Ombre
118,Griffe Ombre,Griffe,Ombre
119,Onde Folie,Onde,Folie
121,Draco-Rage,Draco-,Rage
122,Dracosouffle,Draco,souffle
123,Draco-Griffe,Draco-,Griffe
124,Draco-Choc,Draco-,Choc
125,Danse Draco,Danse,Draco
130,Griffe Acier,Griffe,Acier
131,Aile d'Acier,Aile,d'Acier
132,Queue de Fer,Queue,de Fer
133,Poing Météore,Poing,Météore
134,Mur de Fer,Mur,de Fer
136,Tour Rapide,Tour,Rapide
139,Écras'Face,Écras',Face
140,Vive-Attaque,Vive-,Attaque
146,Éclate Griffe,Éclate,Griffe
147,Puissance Cachée,Puiss.,Cachée
148,Croc de Mort,Croc,de Mort
149,Coupe-Vent,Coupe-,Vent
151,Ultralaser,Ultra,laser
155,Empal'Korne,Empal',Korne
159,Danse-Lames,Danse-,Lames
160,Rugissement,Rugisse-,ment
162,Boul'Armure,Boul',Armure
164,Mimi-Queue,Mimi-,Queue
