stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,script_line,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,french_v2_gloss,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,encoded_length,source_capacity_bytes,compression,compression_justification,fidelity_comment,secondary_french_provenance,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x0301C4,MAIN,1,,Ordinary text,0x0301C4,6029,0x03002B,0x03002B,,,1,0x0301C4,南晶公司版权所有,graphical_codes,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,(c) Nanjing - tous droits réservés.,(c) Nanjing Co. All rights reserved.,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,36,17,no,,Restores Nanjing as the rights holder instead of retaining the unreadable graphical residue in the old English ROM.,French v2 secondary gloss only,,,,
MAIN:0x0301D7,MAIN,2,,Ordinary text,0x0301D7,114,0x03002F,0x03002F,,,3,0x0301E1,出来了!,ascii,Appeared!,0000000000Apparaît!, appeared!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,19,no,,Renders the appearance suffix and keeps the leading space required after the preceding Pokémon name. Full-text review: Keeps the wild-appearance suffix on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x0301EB,MAIN,3,,Ordinary text,0x0301EB,5819,0x030031,0x030031,,,4,0x0301EA,冲啊!,ascii,Go!,Vas-y! ,Go! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,Preserves the short send-out cry and its trailing join before the player's Pokémon name.,French v2 secondary gloss only,,,,
MAIN:0x0301F0,MAIN,4,,Ordinary text,0x0301F0,6030,0x030033,0x030033,,,5,0x0301F1,野生的,graphical_codes,00<B1F8><B1C9><B0BC>,sauvage,Wild ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,8,no,,Uses the standard wild-Pokémon prefix and preserves the trailing space before the species name.,French v2 secondary gloss only,,,,
MAIN:0x0301F9,MAIN,5,,Ordinary text,0x0301F9,115,0x030035,0x030035,,,6,0x0301F9,不行了!,ascii,Fainted!, K.O.!  , fainted!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,9,no,,Conveys that the named Pokémon can no longer battle and keeps the suffix's structural leading space.,French v2 secondary gloss only,,,,
MAIN:0x030203,MAIN,6,,Ordinary text,0x030203,116,,0x030037,,,7,0x030202,经验值得到了!,ascii,Experience!, Exp gagnée!,Exp. gained!,translated_directly_from_reviewed_chinese_source_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,12,12,no,,Restores the complete experience-gained message identified by the reviewed structural record rather than the vague old Experience fragment.,French v2 secondary gloss only,,,,
MAIN:0x030210,MAIN,7,,Ordinary text,0x030210,117,0x030039,0x030039,,,8,0x030211,情况不妙快逃!,ascii,Got away safely!,Fuite réussie!  ,Got away safely!,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,16,16,no,,The executable branch is a completed escape; uses the official Generation I success message instead of an instruction to run after the fact.,French v2 secondary gloss only,,,,
MAIN:0x030221,MAIN,8,,Ordinary text,0x030221,118,0x03003B,0x03003B,,,9,0x030220,小智使用了,ascii,Threw a,Lance  ,Ash used ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,8,no,,Retains Ash as the explicit user and the trailing join before the item name.,French v2 secondary gloss only,,,,
MAIN:0x03022A,MAIN,9,,Ordinary text,0x03022A,119,0x03003D,0x03003D,,,10,0x03022C,将,ascii,Yes!,Oui! ,Gotcha! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,5,no,,Restructures the Chinese object marker into a natural capture lead-in before the Pokémon name; the following fragment supplies the caught result.,French v2 secondary gloss only,,,,
MAIN:0x030230,MAIN,10,,Ordinary text,0x030230,120,0x030041,0x030041,,,12,0x030238,不行啊!,ascii,Oh No!,000000000Oh non! ,Oh no! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,16,no,,Preserves the failed-capture exclamation and its structural trailing join before the Pokémon name.,French v2 secondary gloss only,,,,
MAIN:0x030242,MAIN,11,,Ordinary text,0x030242,121,0x030043,0x030043,,,13,0x030241,从精灵球中跑出来了,ascii,Broke free!,S'échappe! , broke free!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,11,no,,"Preserves both the escape and the explicit Poké Ball, with a leading space for attachment to the Pokémon name. Full-text review: Uses the compact Gen I capture-failure formula on the engine-provided second row.",French v2 secondary gloss only,,,,
MAIN:0x03024E,MAIN,12,,Ordinary text,0x03024E,122,0x03003F,0x03003F,,,11,0x030230,抓到了,ascii,was caught!,00000000est capturé!, was caught!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,19,no,,Renders the capture-result suffix and preserves its join after the Pokémon name. Full-text review: Keeps the capture-success suffix on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x030262,MAIN,13,,Ordinary text,0x030262,123,0x030047,0x030047,,,15,0x030264,使用了,ascii,sent out,0envoie   , sent out ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,10,no,,"Uses the battle-context sense of the verb between the Trainer and Pokémon names, retaining both joining spaces.",French v2 secondary gloss only,,,,
