pointer_reference_hex,chinese_record_index,chinese_offset_hex,chinese_text,english_offset_hex,english_storage,english_text,english_translation_status,french_source_offset_hex,french_text,present_in_french,pointer_redirected_for_french,review_category,review_note
0x033149,937,0x0333BD,"
女孩:能来到这里不简单",0x0331EF,ascii,Are you good enoughfor me?,english_ascii_present,0x0331EF,Tu as dû en baver pour arriver jusqu'ici !,yes,no,semantic_replacement,L'arrivée difficile devient un défi.
0x033161,949,0x0334DC,"
女孩:告诉你我要结婚了!",0x033436,ascii,The Elite Four is next!,english_ascii_present,0x033436,Je vais me marier !,yes,no,semantic_replacement,L'annonce d'un mariage disparaît.
0x033163,950,0x0334F4,"
女孩:我不想嫁人了,你做我老公好吗?",0x03344F,ascii,Unbelievable!,english_ascii_present,0x03344F,"Finalement, non... Tu veux m'épouser ?",yes,no,semantic_replacement,La demande en mariage disparaît.
0x033189,969,0x033C3B,"
大木博士:小智,你经过激烈的战斗!而如今成为联盟冠军!在此记录下小智的名字与精灵的名字吧!和我一起回家吧,你妈妈一定很想你",0x033BFE,ascii,"Congratulations AshThis is the Pok@monHall of Fame! The League Champions and their Pok@mon are honored here! Congratulations,Ashyou and your Pok@-mon are Hall of Famers!",english_ascii_present,0x033BFE,PROF. CHEN : Sacha est Champion ! Inscrivons ton nom et tes Pokémon. Rentrons : ta mère t'attend.,yes,no,major_omission,Le retour chez la mère de Sacha disparaît.
0x033191,973,0x033D67,"
加纳:原来发生异变的原因就是这只超梦引起的.",0x033D67,ascii,"There you are Ash! It seems TeamRockethas appeared again,they've gone to Indigo Plateau. Oh!And I have some- thing for you as well, here's a passto go to Navel RockYou can get there by the S.S. Anne. I'll see you at Indigo Plateau Ash.",english_ascii_present,0x033D67,"OLGA : Mewtwo
causait tout ça.",yes,no,story_rewrite,Mewtwo est remplacé par une nouvelle quête Rocket.
0x0331A1,981,0x033EF8,"
船员:怎么样,是场神奇的旅行吧.现在精灵联盟因为四天王的加纳又回来了,所以又开始接受新的冠军挑战了!",0x033EF8,ascii,"Welcome to Navel Rock! If you'd liketo leave, just board the S.S.Anne.",english_ascii_present,0x033EF8,"Quel voyage !
Olga est revenue :
la Ligue rouvre !",yes,no,story_rewrite,La réouverture de la Ligue disparaît.
0x0331CD,1003,0x034421,"
武藏:对!!他就在彩虹市的南晶科技开发部!!名字叫卡美优!",0x037A51,ascii,"Once again, congra-tulations Ash! You put an end to Team Rocket, hopefully for good this time.",english_ascii_present,0x037A51,"JESSIE : Oui !
Son nom : Kameiyu !
Il est développeur
chez Nanjing Tech,
à Céladopole !",yes,no,story_rewrite,Kamiyu/Nanjing Tech disparaît.
0x0331CF,1004,0x034457,"
喵喵:喵...就是这样",0x037AB1,ascii,You truly are a remarkable trainer Ash!,english_ascii_present,0x037AB1,"MIAOUSS : C'est exact, Miaouss !",yes,no,semantic_replacement,La confirmation de Miaouss est remplacée.
0x0331D9,1009,0x034656,"
卡美优:小智,我知道你一定会来的!这一战应该没有任何遗憾吧!!来吧,准备好了吗?",0x037ADC,ascii,Eusine: Greetings! I've heard about you Ash! Glad to meet you! I've searched the world for the greatest Legendary Pok@mon and finally found them! They seem to want to see your power for them- selves! Allow me toshow you the power of the Legendary Pok@mon!,english_ascii_present,0x037ADC,"KAMEIYU : Sacha !
Te voilà,
comme prévu !
Battons-nous
sans aucun regret !
Alors, prêt ?",yes,no,wrong_character_and_story,Kamiyu devient Eusine.
0x0331DD,1011,0x03476F,"
卡美优:有机会的话一定要去宝石大陆看看,那里有这里所没有的精灵!!!那么你的精灵图鉴如果收集齐了的话再来找我吧!",0x034739,ascii,"You are a true Pok@maniac! You have earned this Pok@- mon's respect, it would like to come with you.",english_ascii_present,0x034739,"KAMEIYU : Hoenn a d'autres Pokémon. Finis ton Pokédex, puis reviens.",yes,no,story_rewrite,Le voyage et le Pokédex deviennent un don.
0x0331E9,1017,0x034883,"
卡美优:我认输!这样总行了吧!",0x034873,ascii,Farewell traveller!,english_ascii_present,0x034873,"KAMEIYU : D'accord, je m'avoue vaincu ! Content ?",yes,no,semantic_replacement,L'aveu de défaite devient un adieu.
0x0331EB,1018,0x0348A0,"
蓓蓓:你真的是很棒耶!",0x034887,ascii,Take care of Eevee!,english_ascii_present,0x034887,BEIBEI : Tu es vraiment formidable !,yes,no,semantic_replacement,Le compliment devient une consigne.
0x0331ED,1019,0x0348B6,"
小李:再骚扰的话,本大爷要报警了...!",0x0348B5,ascii,Your Pok@mon can fly you anywhere.,english_ascii_present,0x0348B5,"XIAO LI : Arrête !
Ou j'appelle
la police !",yes,no,semantic_replacement,La menace d'appeler la police disparaît.
0x034AF7,1062,0x034CB2,"
我也在养育精灵!变强的话就不会让人欺负",0x034CB3,ascii,Technology's great!You can now store and recall items and Pok@mon as data via PC!,english_ascii_present,0x034CB3,"Moi aussi, j'élève
des Pokémon forts.
Fini les brimades !",yes,no,swapped_dialogue,Échangé avec le dialogue scientifique suivant.
0x034AF9,1063,0x034CD9,"
我相信科学的力量!现在电脑可以通信精灵和道具",0x036528,ascii,"I'm raising Pok@mon too! When they get strong, they can protect me!",english_ascii_present,0x036528,Vive la science ! Les PC échangent Pokémon et objets.,yes,no,swapped_dialogue,Échangé avec le dialogue d'élevage précédent.
0x034AFF,1066,0x034D39,"
精灵好好培养的话会很亲近的",0x034D3A,ascii,jump from them.,english_ascii_present,0x034D3A,"Un Pokémon choyé
s'attachera à toi.",yes,no,broken_pointer_or_fragment,Remplacé par un fragment puis un panneau.
0x034B15,1077,0x034E8A,"
道路上经常会有小树吧?用精灵的技能可以砍断的",0x034E8B,ascii,The HM Flash lightseven the darkest caves.,english_ascii_present,0x034E8B,"La capacité Coupe
tranche ces arbres.",yes,no,wrong_ability,Coupe est remplacé par Flash.
0x034B55,1109,0x035294,"
我无法原谅火箭队!他们把逃亡中可拉可拉的妈妈抓了并杀害了!",0x035294,ascii,May the souls of Pok@mon rest easy.,english_ascii_present,0x035294,Jamais je ne pardonnerai à la Team Rocket d'avoir tué la mère d'Osselait !,yes,no,major_omission,Le meurtre de la mère d'Osselait disparaît.
0x034B69,1119,0x0353EF,"
你听过南晶开发部的卡美优吗?听说他的精灵都是神兽级别的哦...",0x0353F0,ascii,They must have targeted Silph Co. for their Pok@mon products.,english_ascii_present,0x0353F0,"Kameiyu, de Nanjing Tech, aurait des Pokémon légendaires...",yes,no,story_rewrite,Kamiyu/Nanjing Tech est remplacé par Sylphe.
0x03826F,1236,0x038890,"
女孩:老爷爷怎在这睡着了?真没办法!只好等到睡醒了",0x03F5A3,ascii,Old Man:Ouch! Girl:I'm sorry my grandfather injuredhis back and can't move.,english_ascii_present,0x03F5A3,"Il dort ?
Attendons un peu.",yes,no,story_rewrite,Le vieillard endormi devient blessé au dos.
0x038277,1240,0x03896F,"
小智将包裹交给博士了!",0x038916,ascii,Ah! This is the custom Pok@ball I ordered!,english_ascii_present,0x038916,"Sacha remet
le Colis Chen
au Prof. Chen !",yes,no,sequence_shift,La remise du colis devient son identification.
0x038279,1241,0x038986,"
大木:这不就是我订的特制精灵球吗?谢谢你,对了!忘了告诉你有事要拜托你",0x038945,ascii,Thank you!,english_ascii_present,0x038945,CHEN : Ma Poké Ball spéciale ! Merci. J'ai une mission.,yes,no,major_omission,La demande du Prof. Chen disparaît.
0x03827B,1242,0x0389CA,"
小茂:爷爷!我的精灵成长了!快来看啊",0x038950,ascii,Gary:Gramps! What did you call me for?,english_ascii_present,0x038950,"RÉGIS : Papy !
Mon Pokémon a
grandi ! Regarde !",yes,no,semantic_replacement,Régis ne parle plus de son Pokémon.
0x038281,1245,0x038A95,"
大木:我的梦想就是制作一本完整的图鉴,但我已经老了不行了!现在希望由你们替我完成梦想!这是能在宠物精灵历史留名的工作,你们该出发了!",0x03898D,ascii,Gary:Okay Gramps! Leave it all to me!,english_ascii_present,0x03898D,"PROF. CHEN :
Mon rêve : finir
le Pokédex complet.
Je suis trop vieux.
Prenez le relais !",yes,no,sequence_shift,Le rêve de Chen est attribué à Régis.
0x0382B1,1269,0x039049,"
得到灰色徽章",0x038F49,ascii,"You can now use theHM Flash! Here,takethis with you too.",english_ascii_present,0x038F49,Badge Roche reçu !,yes,no,sequence_shift,Le Badge Roche devient l'usage de Flash.
0x0382B3,1270,0x039057,"
小刚:有了灰色徽章你的精灵都将变强,持有闪光特技的精灵就算不战斗也能使用闪光!还有这个给你!",0x038F82,ascii,Recieved TM35!,english_ascii_present,0x038F82,PIERRE : Ce Badge renforce tes Pokémon. Flash marche hors combat. Tiens !,yes,no,sequence_shift,L'explication du badge devient la CT35.
0x0382B5,1271,0x0390B1,"
得到技能机器34!",0x038F91,ascii,It contains Harden.This raises your Pokemon's defense.,english_ascii_present,0x038F91,CT35 reçue !,yes,no,sequence_shift,La réception de la CT devient sa description.
0x0382F9,1305,0x03963B,"
火箭队:蛮厉害的嘛,加入我们火箭队吧!",0x0394C3,ascii,If you see a fossilgive it to me and scram!,english_ascii_present,0x0394C3,"Pas mal ! Rejoins
la Team Rocket !",yes,no,semantic_replacement,L'invitation Rocket devient un ordre fossile.
0x03830F,1316,0x039806,"
小智:你们是?",0x039698,ascii,James:Surrender nowor prepare to fight!,english_ascii_present,0x039698,"SACHA :
Qui êtes-vous ?",yes,no,sequence_shift,La question de Sacha devient la devise de James.
0x038311,1317,0x039814,"
武藏:既然你诚心诚意的问了",0x0396C5,ascii,Meowth: Meeouth! That's right!,english_ascii_present,0x0396C5,"JESSIE :
Nous revoilà !",yes,no,sequence_shift,Le début de la devise devient la fin de Miaouss.
