pointer_reference_hex,chinese_target_hex,chinese_record_index,chinese_text,english_target_hex,english_entry_index,english_offset_hex,english_storage,english_text,fidelity_status,review_note
0x03002B,0x0301C5,1,"
南晶公司版权所有",0x0301C5,1,0x0301C4,graphical_codes,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03002D,0x0301D7,2,"
啊!野生的",0x03041D,46,0x03041D,ascii,Oh!A Wild,pending_semantic_review,
0x03002F,0x0301E2,3,"
出来了!",0x0301E1,2,0x0301D7,ascii,Appeared!,pending_semantic_review,
0x030031,0x0301EB,4,"
冲啊!",0x0301EB,3,0x0301EB,ascii,Go!,pending_semantic_review,
0x030033,0x0301F2,5,"
野生的",0x0301F2,4,0x0301F0,graphical_codes,00<B1F8><B1C9><B0BC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030035,0x0301FA,6,"
不行了!",0x0301F9,5,0x0301F9,ascii,Fainted!,pending_semantic_review,
0x030037,0x030203,7,"
经验值得到了!",0x030AB5,152,0x030AB5,ascii,Experience Gained!,pending_semantic_review,
0x030039,0x030212,8,"
情况不妙快逃!",0x030210,7,0x030210,ascii,Got away safely!,pending_semantic_review,
0x03003B,0x030221,9,"
小智使用了",0x030221,8,0x030221,ascii,Threw a,pending_semantic_review,
0x03003D,0x03022D,10,"
将",0x03022A,9,0x03022A,ascii,Yes!,pending_semantic_review,
0x03003F,0x030231,11,"
抓到了",0x030256,12,0x03024E,ascii,was caught!,pending_semantic_review,
0x030041,0x030239,12,"
不行啊!",0x030239,10,0x030230,ascii,Oh No!,pending_semantic_review,
0x030043,0x030242,13,"
从精灵球中跑出来了",0x030242,11,0x030242,ascii,Broke free!,pending_semantic_review,
0x030045,0x030256,14,"
比试胜负来了!",0x035F05,876,0x035F05,ascii,wants to fight!,pending_semantic_review,
0x030047,0x030265,15,"
使用了",0x030263,13,0x030262,ascii,sent out,pending_semantic_review,
0x030049,0x03026D,16,"
不行!胜负的关键不能逃!",0x03026D,14,0x03026D,ascii,Can't run from trainer,pending_semantic_review,
0x03004B,0x030285,17,"
打败了",0x030ADB,154,0x030ADB,ascii,Defeated,pending_semantic_review,
0x03004D,0x03028D,18,"
小智作为奖金",0x035F3D,880,0x035F3D,ascii,"""I can't believe I lost!""",pending_semantic_review,
0x030051,0x03029F,20,"
不行!这是偷盗行为!",0x030290,15,0x030290,ascii,Trainer blocked the ball,pending_semantic_review,
0x030053,0x0302B3,21,"
请准备应战",0x0302B3,16,0x0302A9,ascii,Your turn!,pending_semantic_review,
0x030055,0x0302BF,22,"
使用",0x0302BF,17,0x0302BF,ascii,used,pending_semantic_review,
0x030057,0x0302C5,23,"
效果一般!",0x0302C5,18,0x0302C5,ascii,Good Hit!,pending_semantic_review,
0x030059,0x0302D0,24,"
效果拔群!",0x035F23,878,0x035F23,ascii,Super effective!,pending_semantic_review,
0x03005B,0x0302DB,25,"
效果不好!",0x0302D0,19,0x0302CF,ascii,Not very effective!,pending_semantic_review,
0x03005D,0x0302E6,26,"
没有效果!",0x0302E6,20,0x0302E4,ascii,Missed!,pending_semantic_review,
0x03005F,0x0302F1,27,"
中毒了",0x0302EE,21,0x0302EE,ascii,is poisoned,pending_semantic_review,
0x030061,0x0302F9,28,"
睡着了",0x03651B,1014,0x03651B,ascii,Fell asleep!,pending_semantic_review,
0x030063,0x030301,29,"
麻痹了",0x035F15,877,0x035F15,ascii,is paralyzed!,pending_semantic_review,
0x030065,0x030309,30,"
被烧伤了",0x030304,23,0x030304,ascii,is burned,pending_semantic_review,
0x030067,0x030313,31,"
混乱了",0x03030E,24,0x03030E,ascii,is confused,pending_semantic_review,
0x030069,0x03031B,32,"
冰冻了",0x03031A,25,0x03031A,ascii,is frozen,pending_semantic_review,
0x03006B,0x030323,33,"
中剧毒了",0x0302FB,22,0x0302FA,ascii,Flinched,pending_semantic_review,
0x03006D,0x03032D,34,"
害怕了",0x0302FB,22,0x0302FA,ascii,Flinched,pending_semantic_review,
0x03006F,0x030335,35,"
中毒了有损伤",0x03032A,26,0x030324,ascii,is hurt due to poison!,pending_semantic_review,
0x030071,0x030343,36,"
睡着了",0x030341,27,0x030341,ascii,is asleep,pending_semantic_review,
0x030073,0x03034B,37,"
麻痹了不能动",0x03650D,1013,0x03650D,ascii,Can't attack!,pending_semantic_review,
0x030075,0x030359,38,"
烧伤了有损伤",0x03034C,28,0x03034B,ascii,is hurt from it's burn!,pending_semantic_review,
0x030077,0x030367,39,"
混乱了攻击自己",0x030367,29,0x030364,ascii,is confused,pending_semantic_review,
0x030079,0x030377,40,"
冰冻了不能动",0x030377,30,0x030373,ascii,is frozen,pending_semantic_review,
0x03007B,0x030385,41,"
中剧毒了损伤",0x030385,31,0x030381,graphical_codes,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03007D,0x030393,42,"
害怕不能行动",0x030393,32,0x030392,graphical_codes,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03007F,0x0303A1,43,"
上升了",0x0303A1,33,0x0303A1,ascii,Rose,pending_semantic_review,
0x030081,0x0303A9,44,"
迅速上升了",0x03048C,54,0x03048C,ascii,Greatly Rose,pending_semantic_review,
0x030083,0x0303B5,45,"
不能再上升了",0x0303AA,34,0x0303A9,ascii,can't go higher!,pending_semantic_review,
0x030085,0x0303C3,46,"
下降了",0x0303C2,35,0x0303BC,ascii,Fell,pending_semantic_review,
0x030087,0x0303CB,47,"
迅速下降了",0x0303CB,36,0x0303C8,graphical_codes,000<BBA4><B9D4><B0F9><BBA5><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030089,0x0303D7,48,"
不能再下降了",0x0303D6,37,0x0303D6,ascii,can't go lower,pending_semantic_review,
0x03008B,0x0303E5,49,"
谢谢",0x0303E6,38,0x0303E6,graphical_codes,<B0D8><B0D8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03008D,0x0303EB,50,"
谢谢",0x0303EB,39,0x0303EB,graphical_codes,<B0D8><B0D8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03008F,0x0303F1,51,"
谢谢",0x0303F1,40,0x0303F0,graphical_codes,<0A><B0D8><B0D8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030091,0x0303F7,52,"
谢谢",0x0303F7,41,0x0303F6,graphical_codes,<0A><B0D8><B0D8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030093,0x0303FD,53,"
谢谢",0x0303FD,42,0x0303FC,graphical_codes,<0A><B0D8><B0D8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030095,0x030403,54,"
什么!?",0x030403,43,0x030403,ascii,What?,pending_semantic_review,
0x030097,0x03040B,55,"
的样子...!",0x030409,44,0x030409,ascii,is Evolving!,pending_semantic_review,
0x030099,0x030417,56,"
恭喜!",0x030417,45,0x030417,ascii,Wow!,pending_semantic_review,
0x03009B,0x03041E,57,"
进化成",0x035F57,881,0x035F57,ascii,Evolved into,pending_semantic_review,
0x0300A5,0x03043F,60,"
但是",0x035F85,884,0x035F85,ascii,But it can't learn,pending_semantic_review,
0x0300A7,0x030445,61,"
四个技能已经满了!",0x030445,48,0x03043F,ascii,more than 4 moves!,pending_semantic_review,
0x0300A9,0x030458,62,"
要学会",0x030458,49,0x030458,graphical_codes,<B0C3><B4C3><B1F9>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300AB,0x030460,63,"
忘记其它的技能吗?",0x035F98,885,0x035F98,ascii,Forget an older move?,pending_semantic_review,
0x0300AD,0x030473,64,"
是否",0x030473,51,0x030467,graphical_codes,000000000000<B0C2><B1A1>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300AF,0x030479,65,"
忘记哪个技能?",0x030479,52,0x030479,ascii,Which move?,pending_semantic_review,
0x0300B1,0x030488,66,"
将",0x03045F,50,0x03045F,ascii,Forgot,pending_semantic_review,
0x0300B3,0x03048C,67,"
用法完全忘记了!",0x030485,53,0x030485,ascii,And...,pending_semantic_review,
0x0300B5,0x03049D,68,"
而且学会了",0x03049D,55,0x03049A,ascii,Learned,pending_semantic_review,
0x0300B7,0x0304A9,69,"
放弃学习",0x035FAE,886,0x035FAE,ascii,Forget,pending_semantic_review,
0x0300B9,0x0304B3,70,"
吗?",0x0304A9,56,0x0304A9,ascii,?,pending_semantic_review,
0x0300BB,0x0304B8,71,"
没有学习",0x0304B3,57,0x0304AB,ascii,Did not learn,pending_semantic_review,
0x0300BD,0x0304C2,72,"
聚集了太阳光",0x0304C2,58,0x0304C2,graphical_codes,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300BF,0x0304D0,73,"
太阳光射出",0x0304D0,59,0x0304CF,graphical_codes,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300C1,0x0304DC,74,"
钻到了地下",0x0304DC,60,0x0304DB,graphical_codes,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300C3,0x0304E8,75,"
迅速攻击",0x0304E8,61,0x0304E7,graphical_codes,<0A><BBA4><B9D4><B4AB><B4AC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300C5,0x0304F2,76,"
蓄集力量",0x0304F2,62,0x0304F1,graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300C7,0x0304FC,77,"
全力一击",0x0304FC,63,0x0304FB,graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300C9,0x030506,78,"
蓄集力量",0x030506,64,0x030505,graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300CB,0x030510,79,"
全力一击",0x030510,65,0x03050F,graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300CD,0x03051A,80,"
蓄集打消",0x03051A,66,0x030519,graphical_codes,<0A><BBAA><B6B8><B0CF><B4F1>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300CF,0x030524,81,"
飞上高空",0x030524,67,0x030523,graphical_codes,<0A><B1AC><B1E5><B8AF><B1A2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300D1,0x03052E,82,"
舍命一击",0x03052E,68,0x03052D,graphical_codes,<0A><BBAB><B4B9><B1D1><B4AC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300D3,0x030538,83,"
蓄集神力",0x030538,69,0x030537,graphical_codes,<0A><BBAA><B6B8><B6DD><B0E3>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300D5,0x030542,84,"
神力射出",0x030542,70,0x030541,graphical_codes,<0A><B6DD><B0E3><BBA8><B0A4>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
