record_index,start_hex,end_hex_exclusive,pair,payload_bytes,glyph_codes,unresolved_codes,chinese_text,pointer_targets,pointer_references
1,0x0301C4,0x0301D5,6,17,8,,"
南晶公司版权所有",0x0301C5,0x03002B
2,0x0301D6,0x0301E0,6,10,4,,"
啊!野生的",0x0301D7,0x03002D
3,0x0301E1,0x0301E9,6,8,3,,"
出来了!",0x0301E2,0x03002F
4,0x0301EA,0x0301F0,6,6,2,,"
冲啊!",0x0301EB,0x030031
5,0x0301F1,0x0301F8,6,7,3,,"
野生的",0x0301F2,0x030033
6,0x0301F9,0x030201,6,8,3,,"
不行了!",0x0301FA,0x030035
7,0x030202,0x030210,6,14,6,,"
经验值得到了!",0x030203,0x030037
8,0x030211,0x03021F,6,14,6,,"
情况不妙快逃!",0x030212,0x030039
9,0x030220,0x03022B,6,11,5,,"
小智使用了",0x030221,0x03003B
10,0x03022C,0x03022F,6,3,1,,"
将",0x03022D,0x03003D
11,0x030230,0x030237,6,7,3,,"
抓到了",0x030231,0x03003F
12,0x030238,0x030240,6,8,3,,"
不行啊!",0x030239,0x030041
13,0x030241,0x030254,6,19,9,,"
从精灵球中跑出来了",0x030242,0x030043
14,0x030255,0x030263,6,14,6,,"
比试胜负来了!",0x030256,0x030045
15,0x030264,0x03026B,6,7,3,,"
使用了",0x030265,0x030047
16,0x03026C,0x030283,6,23,10,,"
不行!胜负的关键不能逃!",0x03026D,0x030049
17,0x030284,0x03028B,6,7,3,,"
打败了",0x030285,0x03004B
18,0x03028C,0x030299,6,13,6,,"
小智作为奖金",0x03028D,0x03004D
19,0x03029A,0x03029D,6,3,1,,"
元",0x03029B,0x03004F
20,0x03029E,0x0302B1,6,19,8,,"
不行!这是偷盗行为!",0x03029F,0x030051
21,0x0302B2,0x0302BD,6,11,5,,"
请准备应战",0x0302B3,0x030053
22,0x0302BE,0x0302C3,6,5,2,,"
使用",0x0302BF,0x030055
23,0x0302C4,0x0302CE,6,10,4,,"
效果一般!",0x0302C5,0x030057
24,0x0302CF,0x0302D9,6,10,4,,"
效果拔群!",0x0302D0,0x030059
25,0x0302DA,0x0302E4,6,10,4,,"
效果不好!",0x0302DB,0x03005B
26,0x0302E5,0x0302EF,6,10,4,,"
没有效果!",0x0302E6,0x03005D
27,0x0302F0,0x0302F7,6,7,3,,"
中毒了",0x0302F1,0x03005F
28,0x0302F8,0x0302FF,6,7,3,,"
睡着了",0x0302F9,0x030061
29,0x030300,0x030307,6,7,3,,"
麻痹了",0x030301,0x030063
30,0x030308,0x030311,6,9,4,,"
被烧伤了",0x030309,0x030065
31,0x030312,0x030319,6,7,3,,"
混乱了",0x030313,0x030067
32,0x03031A,0x030321,6,7,3,,"
冰冻了",0x03031B,0x030069
33,0x030322,0x03032B,6,9,4,,"
中剧毒了",0x030323,0x03006B
34,0x03032C,0x030333,6,7,3,,"
害怕了",0x03032D,0x03006D
35,0x030334,0x030341,6,13,6,,"
中毒了有损伤",0x030335,0x03006F
36,0x030342,0x030349,6,7,3,,"
睡着了",0x030343,0x030071
37,0x03034A,0x030357,6,13,6,,"
麻痹了不能动",0x03034B,0x030073
38,0x030358,0x030365,6,13,6,,"
烧伤了有损伤",0x030359,0x030075
39,0x030366,0x030375,6,15,7,,"
混乱了攻击自己",0x030367,0x030077
40,0x030376,0x030383,6,13,6,,"
冰冻了不能动",0x030377,0x030079
41,0x030384,0x030391,6,13,6,,"
中剧毒了损伤",0x030385,0x03007B
42,0x030392,0x03039F,6,13,6,,"
害怕不能行动",0x030393,0x03007D
43,0x0303A0,0x0303A7,6,7,3,,"
上升了",0x0303A1,0x03007F
44,0x0303A8,0x0303B3,6,11,5,,"
迅速上升了",0x0303A9,0x030081
45,0x0303B4,0x0303C1,6,13,6,,"
不能再上升了",0x0303B5,0x030083
46,0x0303C2,0x0303C9,6,7,3,,"
下降了",0x0303C3,0x030085
47,0x0303CA,0x0303D5,6,11,5,,"
迅速下降了",0x0303CB,0x030087
48,0x0303D6,0x0303E3,6,13,6,,"
不能再下降了",0x0303D7,0x030089
49,0x0303E4,0x0303E9,6,5,2,,"
谢谢",0x0303E5,0x03008B
50,0x0303EA,0x0303EF,6,5,2,,"
谢谢",0x0303EB,0x03008D
51,0x0303F0,0x0303F5,6,5,2,,"
谢谢",0x0303F1,0x03008F
52,0x0303F6,0x0303FB,6,5,2,,"
谢谢",0x0303F7,0x030091
53,0x0303FC,0x030401,6,5,2,,"
谢谢",0x0303FD,0x030093
54,0x030402,0x030409,6,7,2,,"
什么!?",0x030403,0x030095
55,0x03040A,0x030415,6,11,3,,"
的样子...!",0x03040B,0x030097
56,0x030416,0x03041C,6,6,2,,"
恭喜!",0x030417,0x030099
57,0x03041D,0x030424,6,7,3,,"
进化成",0x03041E,0x03009B
58,0x030428,0x03042F,6,7,3,,"
学会了",,
59,0x030430,0x030437,6,7,3,,"
想学会",,
60,0x03043E,0x030443,6,5,2,,"
但是",0x03043F,0x0300A5
61,0x030444,0x030456,6,18,8,,"
四个技能已经满了!",0x030445,0x0300A7
62,0x030457,0x03045E,6,7,3,,"
要学会",0x030458,0x0300A9
63,0x03045F,0x030471,6,18,8,,"
忘记其它的技能吗?",0x030460,0x0300AB
64,0x030472,0x030477,6,5,2,,"
是否",0x030473,0x0300AD
65,0x030478,0x030486,6,14,6,,"
忘记哪个技能?",0x030479,0x0300AF
66,0x030487,0x03048A,6,3,1,,"
将",0x030488,0x0300B1
67,0x03048B,0x03049B,6,16,7,,"
用法完全忘记了!",0x03048C,0x0300B3
68,0x03049C,0x0304A7,6,11,5,,"
而且学会了",0x03049D,0x0300B5
69,0x0304A8,0x0304B1,6,9,4,,"
放弃学习",0x0304A9,0x0300B7
70,0x0304B2,0x0304B6,6,4,1,,"
吗?",0x0304B3,0x0300B9
71,0x0304B7,0x0304C0,6,9,4,,"
没有学习",0x0304B8,0x0300BB
72,0x0304C1,0x0304CE,6,13,6,,"
聚集了太阳光",0x0304C2,0x0300BD
73,0x0304CF,0x0304DA,6,11,5,,"
太阳光射出",0x0304D0,0x0300BF
74,0x0304DB,0x0304E6,6,11,5,,"
钻到了地下",0x0304DC,0x0300C1
75,0x0304E7,0x0304F0,6,9,4,,"
迅速攻击",0x0304E8,0x0300C3
76,0x0304F1,0x0304FA,6,9,4,,"
蓄集力量",0x0304F2,0x0300C5
77,0x0304FB,0x030504,6,9,4,,"
全力一击",0x0304FC,0x0300C7
78,0x030505,0x03050E,6,9,4,,"
蓄集力量",0x030506,0x0300C9
79,0x03050F,0x030518,6,9,4,,"
全力一击",0x030510,0x0300CB
80,0x030519,0x030522,6,9,4,,"
蓄集打消",0x03051A,0x0300CD
81,0x030523,0x03052C,6,9,4,,"
飞上高空",0x030524,0x0300CF
82,0x03052D,0x030536,6,9,4,,"
舍命一击",0x03052E,0x0300D1
83,0x030537,0x030540,6,9,4,,"
蓄集神力",0x030538,0x0300D3
84,0x030541,0x03054A,6,9,4,,"
神力射出",0x030542,0x0300D5
85,0x03054B,0x030554,6,9,4,,"
预知未来",0x03054C,0x0300D7
86,0x030555,0x030566,6,17,8,,"
受到预知未来攻击",0x030556,0x0300D9
87,0x030567,0x03056E,6,7,3,,"
吃掉了",0x030568,0x0300DB
88,0x03056F,0x030574,6,5,2,,"
的梦",0x030570,0x0300DD
89,0x030575,0x03057C,6,7,3,,"
发怒了",0x030576,0x0300DF
90,0x03057D,0x030586,6,9,4,,"
受到诅咒",0x03057E,0x0300E1
91,0x030587,0x03058C,6,5,2,,"
战斗",0x030588,0x0300E3
92,0x03058D,0x030592,6,5,2,,"
背包",0x03058E,0x0300E5
93,0x030593,0x030598,6,5,2,,"
精灵",0x030594,0x0300E7
94,0x030599,0x03059E,6,5,2,,"
逃跑",0x03059A,0x0300E9
95,0x03059F,0x0305A2,6,3,1,,"
火",0x0305A0,0x0300EB
96,0x0305A3,0x0305A6,6,3,1,,"
水",0x0305A4,0x0300ED
97,0x0305A7,0x0305AA,6,3,1,,"
电",0x0305A8,0x0300EF
98,0x0305AB,0x0305AE,6,3,1,,"
草",0x0305AC,0x0300F1
99,0x0305AF,0x0305B2,6,3,1,,"
冰",0x0305B0,0x0300F3
100,0x0305B3,0x0305B6,6,3,1,,"
超",0x0305B4,0x0300F5
101,0x0305B7,0x0305BA,6,3,1,,"
龙",0x0305B8,0x0300F7
102,0x0305BB,0x0305BE,6,3,1,,"
恶",0x0305BC,0x0300F9
103,0x0305BF,0x0305C2,6,3,1,,"
普",0x0305C0,0x0300FB
104,0x0305C3,0x0305C6,6,3,1,,"
格",0x0305C4,0x0300FD
105,0x0305C7,0x0305CA,6,3,1,,"
飞",0x0305C8,0x0300FF
106,0x0305CB,0x0305CE,6,3,1,,"
虫",0x0305CC,0x030101
107,0x0305CF,0x0305D2,6,3,1,,"
毒",0x0305D0,0x030103
108,0x0305D3,0x0305D6,6,3,1,,"
地",0x0305D4,0x030105
109,0x0305D7,0x0305DA,6,3,1,,"
岩",0x0305D8,0x030107
110,0x0305DB,0x0305DE,6,3,1,,"
钢",0x0305DC,0x030109
111,0x0305DF,0x0305E2,6,3,1,,"
鬼",0x0305E0,0x03010B
112,0x0305E3,0x0305E6,6,3,1,,"
无",0x0305E4,0x03010D
113,0x0305E7,0x0305EC,6,5,2,,"
战斗",0x0305E8,0x03010F
114,0x0305ED,0x0305F2,6,5,2,,"
换位",0x0305EE,0x030111
115,0x0305F3,0x0305F8,6,5,2,,"
状态",0x0305F4,0x030113
116,0x0305F9,0x030600,6,7,2,,"
普  通",0x0305FA,0x030115
117,0x030601,0x030608,6,7,3,,"
精灵球",0x030602,0x030117
118,0x030609,0x030610,6,7,3,,"
秘传技",0x03060A,0x030119
119,0x030611,0x030618,6,7,2,,"
贵  重",0x030612,0x03011B
120,0x030619,0x03061F,6,6,2,,"
威力:",0x03061A,0x03011D
121,0x030620,0x030626,6,6,2,,"
命中:",0x030621,0x03011F
122,0x030627,0x03062D,6,6,2,,"
类型:",0x030628,0x030121
123,0x03062E,0x030633,6,5,2,,"
野生",0x03062F,0x030123
124,0x030634,0x030639,6,5,2,,"
对手",0x030635,0x030125
125,0x03063A,0x030644,6,10,4,,"
命中要害!",0x03063B,0x030127
126,0x030645,0x030657,6,18,8,,"
使用下一个怪兽吗?",0x030646,0x030129
127,0x030658,0x03065F,6,7,2,,"
是  否",0x030659,0x03012B
128,0x030660,0x03066B,6,11,5,,"
对手要使用",0x030661,0x03012D
129,0x03066C,0x03067E,6,18,8,,"
小智要改变怪兽吗?",0x03066D,0x03012F
130,0x03067F,0x03068C,6,13,6,,"
等级提升到了",0x030680,0x030131
131,0x03068D,0x030697,6,10,4,,"
进化中止!",0x03068E,0x030133
132,0x030698,0x03069D,6,5,2,,"
已经",0x030699,0x030135
133,0x03069E,0x0306A5,6,7,3,,"
攻击力",0x03069F,0x030137
134,0x0306A6,0x0306AD,6,7,3,,"
防御力",0x0306A7,0x030139
135,0x0306AE,0x0306B3,6,5,2,,"
特攻",0x0306AF,0x03013B
136,0x0306B4,0x0306B9,6,5,2,,"
特防",0x0306B5,0x03013D
137,0x0306BA,0x0306BF,6,5,2,,"
速度",0x0306BB,0x03013F
138,0x0306C0,0x0306C7,6,7,3,,"
命中率",0x0306C1,0x030141
139,0x0306C8,0x0306D5,6,13,6,,"
血值有所恢复",0x0306C9,0x030143
140,0x0306D6,0x0306E0,6,10,4,,"
不能行动!",0x0306D7,0x030145
141,0x0306E1,0x0306EB,6,10,4,,"
一击必杀!",0x0306E2,0x030147
142,0x0306EC,0x0306F4,6,8,3,,"
逃跑了!",0x0306ED,0x030149
143,0x0306F5,0x0306FD,6,8,3,,"
不能逃!",0x0306F6,0x03014B
144,0x0306FE,0x030709,6,11,5,,"
中毒解除了",0x0306FF,0x03014D
145,0x03070A,0x030713,6,9,4,,"
醒过来了",0x03070B,0x03014F
146,0x030714,0x03071F,6,11,5,,"
麻痹解除了",0x030715,0x030151
147,0x030720,0x03072B,6,11,5,,"
烧伤解除了",0x030721,0x030153
148,0x03072C,0x030737,6,11,5,,"
混乱解除了",0x03072D,0x030155
149,0x030738,0x030743,6,11,5,,"
冰冻解除了",0x030739,0x030157
150,0x030744,0x03074F,6,11,5,,"
剧毒解除了",0x030745,0x030159
151,0x030750,0x03075B,6,11,5,,"
害怕解除了",0x030751,0x03015B
152,0x03075C,0x030763,6,7,3,,"
得到了",0x03075D,0x03015D
153,0x030764,0x03076B,6,7,3,,"
支付了",0x030765,0x03015F
154,0x03076C,0x03076F,6,3,1,,"
和",0x03076D,0x030161
155,0x030770,0x03077B,6,11,5,,"
比试失败了",0x030771,0x030163
156,0x03077C,0x030781,6,5,2,,"
需要",0x03077D,0x030165
157,0x030782,0x03078B,6,9,4,,"
蓝色徽章",0x030783,0x030167
158,0x03078C,0x030795,6,9,4,,"
橙色徽章",0x03078D,0x030169
159,0x030796,0x03079F,6,9,4,,"
粉红徽章",0x030797,0x03016B
160,0x0307A0,0x0307A9,6,9,4,,"
彩虹徽章",0x0307A1,0x03016D
161,0x0307AA,0x0307B3,6,9,4,,"
灰色徽章",0x0307AB,0x03016F
162,0x0307B9,0x0307C3,6,10,4,,"
不能中毒!",0x0307BA,0x030173
163,0x0307C4,0x0307CE,6,10,4,,"
不能烧伤!",0x0307C5,0x030175
164,0x0307CF,0x0307D9,6,10,4,,"
不能冰冻!",0x0307D0,0x030177
165,0x0307DA,0x0307DF,6,5,2,,"
存放",0x0307DB,0x030179
166,0x0307E0,0x0307E7,6,7,3,,"
箱子一",0x0307E1,0x03017B
167,0x0307E8,0x0307EF,6,7,3,,"
箱子二",0x0307E9,0x03017D
168,0x0307F0,0x0307F7,6,7,3,,"
箱子三",0x0307F1,0x03017F
169,0x0307F8,0x0307FF,6,7,3,,"
箱子四",0x0307F9,0x030181
170,0x030800,0x030807,6,7,3,,"
箱子五",0x030801,0x030183
171,0x030808,0x03080F,6,7,3,,"
箱子六",0x030809,0x030185
172,0x030810,0x030817,6,7,3,,"
箱子七",0x030811,0x030187
173,0x030818,0x03081F,6,7,3,,"
箱子八",0x030819,0x030189
174,0x030820,0x03082A,6,10,4,,"
携带已满!",0x030821,0x03018B
175,0x03082B,0x03087E,6,83,39,,"
你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",0x03082C,0x03018D
176,0x03087F,0x0308B9,6,58,27,,"
这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!",0x030880,0x03018F
177,0x0308BA,0x0308E0,6,38,17,,"
小智,一个将属于你的故事,梦想即将开始!",0x0308BB,0x030191
178,0x0308E1,0x0308E4,6,3,1,,"
买",0x0308E2,0x030193
179,0x0308E5,0x0308E8,6,3,1,,"
卖",0x0308E6,0x030195
180,0x0308E9,0x0308F2,6,9,4,,"
欢迎光临",0x0308EA,0x030197
181,0x0308F3,0x0308FB,6,8,3,,"
买几个?",0x0308F4,0x030199
182,0x0308FC,0x030904,6,8,3,,"
卖几个?",0x0308FD,0x03019B
183,0x030905,0x03090E,6,9,4,,"
交易成功",0x030906,0x03019D
184,0x03090F,0x030918,6,9,4,,"
无法交易",0x030910,0x03019F
185,0x030919,0x030920,6,7,3,,"
钱不够",0x03091A,0x0301A1
186,0x030921,0x03092D,6,12,5,,"
未得到图鉴!",0x030922,0x0301A3
187,0x03092E,0x030937,6,9,4,,"
没有精灵",0x03092F,0x0301A5
188,0x030938,0x030943,6,11,5,,"
也有所损伤",0x030939,0x0301A7
