stable_key,record_type,offset_hex,layout,max_len,chinese_text,source_en,fr_text,source_alignment
MAIN:0x0301C4,MAIN,0x0301C4,,17,"
南晶公司版权所有",<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,(c) Nanjing - tous droits réservés.,unique
MAIN:0x0301D7,MAIN,0x0301D7,,19,"
出来了!",0000000000Appeared!,0000000000 sauvage apparaît !,unique
MAIN:0x0301EB,MAIN,0x0301EB,,4,"
冲啊!",Go! ,En avant ! ,unique
MAIN:0x0301F0,MAIN,0x0301F0,,8,"
野生的",00<B1F8><B1C9><B0BC>,sauvage ,unique
MAIN:0x0301F9,MAIN,0x0301F9,,9,"
不行了!", Fainted!, est K.O. !,unique
MAIN:0x030203,MAIN,0x030203,,12,, Experience!, EXP gagn. !,non_aligne
MAIN:0x030210,MAIN,0x030210,,16,"
情况不妙快逃!",Got away safely!,Vous prenez la fuite !,unique
MAIN:0x030221,MAIN,0x030221,,8,"
小智使用了",Threw a ,Sacha lance une ,unique
MAIN:0x03022A,MAIN,0x03022A,,5,"
将",Yes! ,Oui ! ,unique
MAIN:0x030230,MAIN,0x030230,,16,"
不行啊!",000000000Oh No! ,000000000Oh non ! ,unique
MAIN:0x030242,MAIN,0x030242,,11,"
从精灵球中跑出来了",Broke free!, s'est libéré !,unique
MAIN:0x03024E,MAIN,0x03024E,,19,"
抓到了",00000000was caught!,00000000 est capturé !,unique
MAIN:0x030262,MAIN,0x030262,,10,"
使用了",0sent out ,0envoie ,unique
MAIN:0x03026D,MAIN,0x03026D,,22,"
不行!胜负的关键不能逃!",Can't run from trainer,Fuite impossible !,unique
MAIN:0x030290,MAIN,0x030290,,24,"
不行!这是偷盗行为!",Trainer blocked the ball,"Voler, c'est mal !",unique
MAIN:0x0302A9,MAIN,0x0302A9,,20,"
请准备应战",0000000000Your turn!,0000000000À toi !,unique
MAIN:0x0302BF,MAIN,0x0302BF,,5,"
使用", used, utilise ,unique
MAIN:0x0302C5,MAIN,0x0302C5,,9,"
效果一般!",Good Hit!,Coup normal !,unique
MAIN:0x0302CF,MAIN,0x0302CF,,20,"
效果不好!",0Not very effective!,0Peu efficace...,unique
MAIN:0x0302E4,MAIN,0x0302E4,,9,"
没有效果!",00Missed!,00Raté !,unique
MAIN:0x0302EE,MAIN,0x0302EE,,11,"
中毒了",is poisoned, est empoisonné !,unique
MAIN:0x0302FA,MAIN,0x0302FA,,9,"
中剧毒了
---

害怕了", Flinched, est intoxiqué !,multiple
MAIN:0x030304,MAIN,0x030304,,9,"
被烧伤了",is burned, est brûlé !,unique
MAIN:0x03030E,MAIN,0x03030E,,11,"
混乱了",is confused, est confus !,unique
MAIN:0x03031A,MAIN,0x03031A,,9,"
冰冻了",is frozen, est gelé !,unique
MAIN:0x030324,MAIN,0x030324,,28,"
中毒了有损伤",000000is hurt due to poison!,000000 souffre du poison !,unique
MAIN:0x030341,MAIN,0x030341,,9,"
睡着了",is asleep, dort !,unique
MAIN:0x03034B,MAIN,0x03034B,,24,"
烧伤了有损伤",0is hurt from it's burn!,0 brûle !,unique
MAIN:0x030364,MAIN,0x030364,,14,"
混乱了攻击自己",000is confused,000 se blesse !,unique
