id,cle_stable,categorie,offset_ou_pointeur,ligne_script,layout,intervenant,texte_francais,texte_chinois_source,traduction_anglaise_rom_anglaise,confiance_alignement,historique_traduction,naturalise,corrige_d_apres_le_chinois,votre_verdict,votre_commentaire
D0001,MAIN:0x03082C,Introduction,0x03082C,222,dialogue_intro_17_19,PROF. CHEN,"PROF. CHEN :
Bien le bonjour !
Bienvenue !
Voici le monde
des Pokémon !
Moi, c'est Chen,
le Prof Pokémon !
Ici vivent
des créatures
appelées Pokémon !","你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",Hello there! Welcome to the world of Pok@mon! My name is OAK! People call me the Pok@mon PROF!,high,introduction + adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0002,MAIN:0x0331EF,Dialogue en jeu,0x0331EF,5304,dialogue_19_19,,Tu as dû en baver pour arriver jusqu'ici !,女孩:能来到这里不简单,Are you good enoughfor me?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0003,MAIN:0x03320B,Dialogue en jeu,0x03320B,5378,dialogue_19_19,,"À toi de jouer, maintenant.",女孩:之后就看你的,I never wanted to lose!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0004,MAIN:0x033224,Dialogue en jeu,0x033224,5309,dialogue_19_19,,"Toi aussi, tu viens défier la Ligue ?",男孩:看来你也是来挑战联盟的了,I can see your good,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0005,MAIN:0x033238,Dialogue en jeu,0x033238,5366,dialogue_19_19,,Tu pourrais devenir Champion !,男孩:你有机会夺取冠军啊,"I concede, you're better.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0006,MAIN:0x033253,Dialogue en jeu,0x033253,5397,dialogue_19_19,,Prépare-toi !,训兽师:觉悟吧,Is Victory Road tootough?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0007,MAIN:0x03326D,Dialogue en jeu,0x03326D,5398,dialogue_19_19,,J'étais prêt !,训兽师:我已经觉悟了!,Well done!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0008,MAIN:0x033278,Dialogue en jeu,0x033278,5314,dialogue_19_19,,Pourquoi es-tu là ?,魔术师:为什么要来这里?,Come on! I'll whip you!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0009,MAIN:0x033290,Dialogue en jeu,0x033290,5383,dialogue_19_19,,Tu vises haut !,魔术师:你的目标的确伟大!,I got whipped.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0010,MAIN:0x03329F,Dialogue en jeu,0x03329F,6092,dialogue_19_19,RÉGIS,"RÉGIS : Tiens,
Sacha !
Quelle surprise !
Tu vas à la Ligue ?
Tous tes Badges !
Pas mal ! Bats-moi.","小茂:怎么了?小智在这里遇见你还真是偶然啊!你也去宠物精灵联盟啊?徽章也都收集齐了,干的不错嘛!不过在去联盟之前先和我比试一场吧!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
