pointer_reference_hex,chinese_record_index,chinese_text,literal_french,english_text,assessment
0x03004D,18,小智作为奖金,Ash reçoit comme récompense,"I can't believe I lost!",sans_rapport
0x03005D,26,没有效果!,Aucun effet!,Missed!,contresens_mecanique
0x03006B,33,中剧毒了,Est gravement empoisonné,Flinched,contresens_mecanique
0x030163,155,比试失败了,Le combat est perdu,Won!,sens_inverse
0x031033,429,岩碎,Éclate-Roc,Low Kick,mauvaise_capacite
0x03103B,433,二段踢,Double Pied,Revenge,mauvaise_capacite
0x0310AD,490,刀背打,Faux-Chage,Scratch,mauvaise_capacite
0x0310B5,494,鼾声,Ronflement,Fake Out,mauvaise_capacite
0x0310DB,513,撒娇,Charme,Bulk-up,mauvaise_capacite
0x038347,1344,迷你裙:我承认你了,Fillette: je reconnais ta valeur,<B4D3><B0C5><B4D4>:<B1C2><B6C3><B4BA><B0C5><B0F8>,reste_graphique
0x03834B,1346,谈判小子:有两下子,Négociateur: pas mal,Got Charmander!,mauvais_pointeur
0x03834F,1348,迷你裙:我今后就关注你吧,Fillette: dorénavant je vais te suivre de près,I saw trainers from all over!,mauvais_pointeur
0x038353,1350,侦察员:你是第一个打败我们的,Éclaireur: tu es le premier à nous battre,I'm off to see Bill,mauvais_pointeur
