id,cle_stable,pointer_reference_hex,texte_chinois_source,traduction_anglaise_rom_anglaise,texte_francais_actuel,statut
D0971,RESTORED:0x033137,0x033137,武藏:我们是穿过银河系的即将解散的火箭队!,ABSENT — dialogue supprimé de la ROM anglaise,"JESSIE :
La Team Rocket
traverse l'espace !
Sa fin est proche !",restauré et vérifié dans la ROM française
D0972,RESTORED:0x033139,0x033139,"小次郎:黑洞,没有明天的黑色在等着我们!",ABSENT — dialogue supprimé de la ROM anglaise,JAMES : Trou noir ! Aucun lendemain !,restauré et vérifié dans la ROM française
D0973,RESTORED:0x03313B,0x03313B,喵喵:就是这样!!,ABSENT — dialogue supprimé de la ROM anglaise,MIAOUSS : C'est ça !,restauré et vérifié dans la ROM française
D0974,RESTORED:0x03313D,0x03313D,小次郎:怎么没次都这样...,ABSENT — dialogue supprimé de la ROM anglaise,JAMES : Pourquoi toujours pareil...,restauré et vérifié dans la ROM française
D0975,RESTORED:0x03313F,0x03313F,武藏:好讨厌的感觉哟...,ABSENT — dialogue supprimé de la ROM anglaise,JESSIE : C'est affreux...,restauré et vérifié dans la ROM française
D0976,RESTORED:0x033141,0x033141,喵喵:喵...,ABSENT — dialogue supprimé de la ROM anglaise,MIAOUSS : Miaouss...,restauré et vérifié dans la ROM française
D0977,RESTORED:0x033193,0x033193,小智:超梦?,ABSENT — dialogue supprimé de la ROM anglaise,SACHA : Mewtwo ?,restauré et vérifié dans la ROM française
D0978,RESTORED:0x033195,0x033195,"加纳:是火箭队干的好事,他们用梦幻的遗传基因克隆出来的精灵...幸好你及时发现了才没有造成大的轰动!我也该返回联盟了那么随时欢迎你到联盟挑战!",ABSENT — dialogue supprimé de la ROM anglaise,"OLGA :
La Team Rocket
a cloné Mewtwo
avec l'ADN de Mew.
Tu l'as trouvé.
Juste à temps !
Je file à la Ligue.
Viens nous défier !",restauré et vérifié dans la ROM française
D0979,RESTORED:0x033197,0x033197,小智:一定会的!,ABSENT — dialogue supprimé de la ROM anglaise,"SACHA :
Compte sur moi !",restauré et vérifié dans la ROM française
D0980,RESTORED:0x033199,0x033199,"加纳:啊,对了!我有件礼物要送给你!朋友给我的梦幻旅行船票...但我因为还有联盟的事情没时间去作为答谢就送给你了.",ABSENT — dialogue supprimé de la ROM anglaise,"OLGA :
Un ami m'a donné
ce Ticket Mystik.
La Ligue m'occupe.
C'est ton cadeau !",restauré et vérifié dans la ROM française
D0981,RESTORED:0x0331B3,0x0331B3,武藏:既然你诚心诚意的问了,ABSENT — dialogue supprimé de la ROM anglaise,"JESSIE :
Nous revoilà !",restauré et vérifié dans la ROM française
D0982,RESTORED:0x0331B5,0x0331B5,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue supprimé de la ROM anglaise,JAMES : Un mauvais tour vous attend !,restauré et vérifié dans la ROM française
D0983,RESTORED:0x0331B7,0x0331B7,武藏:为了防止世界被破坏,ABSENT — dialogue supprimé de la ROM anglaise,"JESSIE :
Préservons le monde
de la dévastation !",restauré et vérifié dans la ROM française
D0984,RESTORED:0x0331B9,0x0331B9,小次郎:为了维护世界的和平.,ABSENT — dialogue supprimé de la ROM anglaise,"JAMES : Peuples du monde, ralliez notre nation !",restauré et vérifié dans la ROM française
D0985,RESTORED:0x0331BB,0x0331BB,武藏:坚持爱与真实的罪恶,ABSENT — dialogue supprimé de la ROM anglaise,JESSIE : Écrasons amour et vérité !,restauré et vérifié dans la ROM française
D0986,RESTORED:0x0331BD,0x0331BD,小次郎:最有魅力的反派人物!,ABSENT — dialogue supprimé de la ROM anglaise,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restauré et vérifié dans la ROM française
D0987,RESTORED:0x0331BF,0x0331BF,武藏:武藏!,ABSENT — dialogue supprimé de la ROM anglaise,JESSIE : Jessie !,restauré et vérifié dans la ROM française
D0988,RESTORED:0x0331C1,0x0331C1,小次郎:小次郎!,ABSENT — dialogue supprimé de la ROM anglaise,JAMES : James !,restauré et vérifié dans la ROM française
D0989,RESTORED:0x0331C3,0x0331C3,武藏:我们是穿过银河系的南晶队!,ABSENT — dialogue supprimé de la ROM anglaise,"JESSIE :
La Team Nanjing,
plus rapide
que la lumière !",restauré et vérifié dans la ROM française
D0990,RESTORED:0x0331C5,0x0331C5,"小次郎:白洞,白色的明天在等着我们!",ABSENT — dialogue supprimé de la ROM anglaise,"JAMES : Rendez-vous, sinon guerre à vous !",restauré et vérifié dans la ROM française
D0991,RESTORED:0x0331C7,0x0331C7,喵喵:说的对!喵...,ABSENT — dialogue supprimé de la ROM anglaise,"MIAOUSS : Miaouss, oui la guerre !",restauré et vérifié dans la ROM française
D0992,RESTORED:0x0331C9,0x0331C9,"小次郎:我们现在跟了新的老大,已经不是从前的我们了!!",ABSENT — dialogue supprimé de la ROM anglaise,"JAMES : Nouveau Boss, on a changé !",restauré et vérifié dans la ROM française
D0993,RESTORED:0x0331D1,0x0331D1,"小次郎:尽管你的实力非常强,但是碰上我们新老大卡美优的精灵只有落败的份!哈哈哈",ABSENT — dialogue supprimé de la ROM anglaise,"JAMES : Tu es fort.
Pourtant,
notre nouveau chef,
Kameiyu, te battra
avec ses Pokémon !
Ha ha !",restauré et vérifié dans la ROM française
D0994,RESTORED:0x038313,0x038313,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue supprimé de la ROM anglaise,JAMES : Un mauvais tour vous attend !,restauré et vérifié dans la ROM française
D0995,RESTORED:0x038315,0x038315,武藏:为了防止世界被破坏,ABSENT — dialogue supprimé de la ROM anglaise,"JESSIE :
Préservons le monde
de la dévastation !",restauré et vérifié dans la ROM française
D0996,RESTORED:0x038317,0x038317,小次郎:为了维护世界的和平.,ABSENT — dialogue supprimé de la ROM anglaise,"JAMES : Peuples du monde, ralliez notre nation !",restauré et vérifié dans la ROM française
D0997,RESTORED:0x038319,0x038319,武藏:坚持爱与真实的罪恶,ABSENT — dialogue supprimé de la ROM anglaise,JESSIE : Écrasons amour et vérité !,restauré et vérifié dans la ROM française
